x-axis,MATH
Hertz,dBV
+18.800E+03,-76.60938E+00
+18.900E+03,-77.00000E+00
+19.000E+03,-77.27344E+00
+19.100E+03,-76.57031E+00
+19.200E+03,-75.71094E+00
+19.300E+03,-74.73438E+00
+19.400E+03,-73.56250E+00
+19.500E+03,-72.31250E+00
+19.600E+03,-71.37500E+00
+19.700E+03,-70.43750E+00
+19.800E+03,-69.57813E+00
+19.900E+03,-68.75781E+00
+20.000E+03,-67.97656E+00
+20.100E+03,-67.27344E+00
+20.200E+03,-66.72656E+00
+20.300E+03,-66.25781E+00
+20.400E+03,-65.90625E+00
+20.500E+03,-65.78906E+00
+20.600E+03,-65.94531E+00
+20.700E+03,-66.17969E+00
+20.800E+03,-66.45313E+00
+20.900E+03,-66.84375E+00
+21.000E+03,-67.27344E+00
+21.100E+03,-67.66406E+00
+21.200E+03,-67.93750E+00
+21.300E+03,-68.17188E+00
+21.400E+03,-68.36719E+00
+21.500E+03,-68.32813E+00
+21.600E+03,-68.13281E+00
+21.700E+03,-67.82031E+00
+21.800E+03,-67.46875E+00
+21.900E+03,-67.03906E+00
+22.000E+03,-66.60938E+00
+22.100E+03,-66.17969E+00
+22.200E+03,-65.75000E+00
+22.300E+03,-65.28125E+00
+22.400E+03,-64.85156E+00
+22.500E+03,-64.42188E+00
+22.600E+03,-64.03125E+00
+22.700E+03,-63.64063E+00
+22.800E+03,-63.25000E+00
+22.900E+03,-62.85938E+00
+23.000E+03,-62.42969E+00
+23.100E+03,-62.00000E+00
+23.200E+03,-61.64844E+00
+23.300E+03,-61.33594E+00
+23.400E+03,-60.98438E+00
+23.500E+03,-60.75000E+00
+23.600E+03,-60.59375E+00
+23.700E+03,-60.51563E+00
+23.800E+03,-60.51563E+00
+23.900E+03,-60.59375E+00
+24.000E+03,-60.82813E+00
+24.100E+03,-61.14063E+00
+24.200E+03,-61.53125E+00
+24.300E+03,-62.00000E+00
+24.400E+03,-62.54688E+00
+24.500E+03,-63.17188E+00
+24.600E+03,-63.75781E+00
+24.700E+03,-64.26563E+00
+24.800E+03,-64.77344E+00
+24.900E+03,-65.04688E+00
+25.000E+03,-65.08594E+00
+25.100E+03,-65.04688E+00
+25.200E+03,-64.92969E+00
+25.300E+03,-64.73438E+00
+25.400E+03,-64.46094E+00
+25.500E+03,-64.22656E+00
+25.600E+03,-64.03125E+00
+25.700E+03,-63.79688E+00
+25.800E+03,-63.60156E+00
+25.900E+03,-63.56250E+00
+26.000E+03,-63.60156E+00
+26.100E+03,-63.64063E+00
+26.200E+03,-63.71875E+00
+26.300E+03,-63.83594E+00
+26.400E+03,-63.91406E+00
+26.500E+03,-63.95313E+00
+26.600E+03,-63.99219E+00
+26.700E+03,-64.03125E+00
+26.800E+03,-64.07031E+00
+26.900E+03,-64.07031E+00
+27.000E+03,-64.07031E+00
+27.100E+03,-64.03125E+00
+27.200E+03,-63.99219E+00
+27.300E+03,-63.87500E+00
+27.400E+03,-63.67969E+00
+27.500E+03,-63.48438E+00
+27.600E+03,-63.32813E+00
+27.700E+03,-63.17188E+00
+27.800E+03,-63.09375E+00
+27.900E+03,-63.17188E+00
+28.000E+03,-63.25000E+00
+28.100E+03,-63.40625E+00
+28.200E+03,-63.56250E+00
+28.300E+03,-63.83594E+00
+28.400E+03,-64.07031E+00
+28.500E+03,-64.30469E+00
+28.600E+03,-64.53906E+00
+28.700E+03,-64.73438E+00
+28.800E+03,-64.92969E+00
+28.900E+03,-64.96875E+00
+29.000E+03,-64.92969E+00
+29.100E+03,-64.81250E+00
+29.200E+03,-64.57813E+00
+29.300E+03,-64.10938E+00
+29.400E+03,-63.52344E+00
+29.500E+03,-62.89844E+00
+29.600E+03,-62.27344E+00
+29.700E+03,-61.64844E+00
+29.800E+03,-61.17969E+00
+29.900E+03,-60.78906E+00
+30.000E+03,-60.43750E+00
+30.100E+03,-60.12500E+00
+30.200E+03,-59.85156E+00
+30.300E+03,-59.61719E+00
+30.400E+03,-59.42188E+00
+30.500E+03,-59.22656E+00
+30.600E+03,-59.03125E+00
+30.700E+03,-58.91406E+00
+30.800E+03,-58.75781E+00
+30.900E+03,-58.64063E+00
+31.000E+03,-58.52344E+00
+31.100E+03,-58.36719E+00
+31.200E+03,-58.25000E+00
+31.300E+03,-58.13281E+00
+31.400E+03,-57.97656E+00
+31.500E+03,-57.85938E+00
+31.600E+03,-57.66406E+00
+31.700E+03,-57.46875E+00
+31.800E+03,-57.19531E+00
+31.900E+03,-56.92188E+00
+32.000E+03,-56.60938E+00
+32.100E+03,-56.33594E+00
+32.200E+03,-56.06250E+00
+32.300E+03,-55.86719E+00
+32.400E+03,-55.67188E+00
+32.500E+03,-55.55469E+00
+32.600E+03,-55.43750E+00
+32.700E+03,-55.35938E+00
+32.800E+03,-55.32031E+00
+32.900E+03,-55.35938E+00
+33.000E+03,-55.39844E+00
+33.100E+03,-55.51563E+00
+33.200E+03,-55.71094E+00
+33.300E+03,-55.98438E+00
+33.400E+03,-56.25781E+00
+33.500E+03,-56.60938E+00
+33.600E+03,-56.96094E+00
+33.700E+03,-57.46875E+00
+33.800E+03,-57.93750E+00
+33.900E+03,-58.44531E+00
+34.000E+03,-58.87500E+00
+34.100E+03,-59.38281E+00
+34.200E+03,-59.77344E+00
+34.300E+03,-60.08594E+00
+34.400E+03,-60.28125E+00
+34.500E+03,-60.39844E+00
+34.600E+03,-60.39844E+00
+34.700E+03,-60.08594E+00
+34.800E+03,-59.73438E+00
+34.900E+03,-59.34375E+00
+35.000E+03,-58.83594E+00
+35.100E+03,-58.36719E+00
+35.200E+03,-57.97656E+00
+35.300E+03,-57.62500E+00
+35.400E+03,-57.31250E+00
+35.500E+03,-57.00000E+00
+35.600E+03,-56.76563E+00
+35.700E+03,-56.57031E+00
+35.800E+03,-56.45313E+00
+35.900E+03,-56.33594E+00
+36.000E+03,-56.29688E+00
+36.100E+03,-56.25781E+00
+36.200E+03,-56.21875E+00
+36.300E+03,-56.25781E+00
