x-axis,1,2
second,Volt,Volt
-2.500000E-03,+2.867187500E+00,+2.511718750E+00
-2.495000E-03,+2.832031250E+00,+2.510546875E+00
-2.490000E-03,+2.796875000E+00,+2.509179688E+00
-2.485000E-03,+2.764648438E+00,+2.509375000E+00
-2.480000E-03,+2.738281250E+00,+2.509277344E+00
-2.475000E-03,+2.707031250E+00,+2.507714844E+00
-2.470000E-03,+2.675781250E+00,+2.507128906E+00
-2.465000E-03,+2.636718750E+00,+2.506933594E+00
-2.460000E-03,+2.609375000E+00,+2.506152344E+00
-2.455000E-03,+2.579101563E+00,+2.505078125E+00
-2.450000E-03,+2.545898438E+00,+2.504882813E+00
-2.445000E-03,+2.512695313E+00,+2.504199219E+00
-2.440000E-03,+2.484375000E+00,+2.503027344E+00
-2.435000E-03,+2.457031250E+00,+2.502734375E+00
-2.430000E-03,+2.422851563E+00,+2.502832031E+00
-2.425000E-03,+2.392578125E+00,+2.501367188E+00
-2.420000E-03,+2.358398438E+00,+2.500585938E+00
-2.415000E-03,+2.335937500E+00,+2.501464844E+00
-2.410000E-03,+2.304687500E+00,+2.500976563E+00
-2.405000E-03,+2.268554688E+00,+2.499316406E+00
-2.400000E-03,+2.238281250E+00,+2.499511719E+00
-2.395000E-03,+2.215820313E+00,+2.499218750E+00
-2.390000E-03,+2.187500000E+00,+2.497949219E+00
-2.385000E-03,+2.158203125E+00,+2.497265625E+00
-2.380000E-03,+2.131835938E+00,+2.497558594E+00
-2.375000E-03,+2.109375000E+00,+2.496289062E+00
-2.370000E-03,+2.083984375E+00,+2.495214844E+00
-2.365000E-03,+2.056640625E+00,+2.495703125E+00
-2.360000E-03,+2.029296875E+00,+2.495410156E+00
-2.355000E-03,+2.005859375E+00,+2.494335937E+00
-2.350000E-03,+1.986328125E+00,+2.494238281E+00
-2.345000E-03,+1.959960938E+00,+2.494140625E+00
-2.340000E-03,+1.935546875E+00,+2.492968750E+00
-2.335000E-03,+1.914062500E+00,+2.492480469E+00
-2.330000E-03,+1.897460938E+00,+2.493066406E+00
-2.325000E-03,+1.876953125E+00,+2.492089844E+00
-2.320000E-03,+1.856445313E+00,+2.490917969E+00
-2.315000E-03,+1.836914063E+00,+2.491308594E+00
-2.310000E-03,+1.824218750E+00,+2.491796875E+00
-2.305000E-03,+1.810546875E+00,+2.490527344E+00
-2.300000E-03,+1.791992188E+00,+2.490136719E+00
-2.295000E-03,+1.777343750E+00,+2.490722656E+00
-2.290000E-03,+1.766601563E+00,+2.489746094E+00
-2.285000E-03,+1.756835938E+00,+2.489453125E+00
-2.280000E-03,+1.742187500E+00,+2.490136719E+00
-2.275000E-03,+1.733398438E+00,+2.489746094E+00
-2.270000E-03,+1.723632813E+00,+2.488769531E+00
-2.265000E-03,+1.719726563E+00,+2.488867187E+00
-2.260000E-03,+1.711914063E+00,+2.489648437E+00
-2.255000E-03,+1.701171875E+00,+2.488769531E+00
-2.250000E-03,+1.695312500E+00,+2.488378906E+00
-2.245000E-03,+1.698242187E+00,+2.489257812E+00
-2.240000E-03,+1.694335938E+00,+2.489160156E+00
-2.235000E-03,+1.684570313E+00,+2.487890625E+00
-2.230000E-03,+1.684570313E+00,+2.488183594E+00
-2.225000E-03,+1.686523438E+00,+2.488769531E+00
-2.220000E-03,+1.687500000E+00,+2.488085937E+00
-2.215000E-03,+1.687500000E+00,+2.487792969E+00
-2.210000E-03,+1.689453125E+00,+2.488574219E+00
-2.205000E-03,+1.693359375E+00,+2.488378906E+00
-2.200000E-03,+1.701171875E+00,+2.488281250E+00
-2.195000E-03,+1.705078125E+00,+2.489062500E+00
-2.190000E-03,+1.710937500E+00,+2.489453125E+00
-2.185000E-03,+1.716796875E+00,+2.488867187E+00
-2.180000E-03,+1.727539062E+00,+2.489257812E+00
-2.175000E-03,+1.736328125E+00,+2.490234375E+00
-2.170000E-03,+1.744140625E+00,+2.489941406E+00
-2.165000E-03,+1.752929687E+00,+2.489746094E+00
-2.160000E-03,+1.765625000E+00,+2.491015625E+00
-2.155000E-03,+1.782226562E+00,+2.491308594E+00
-2.150000E-03,+1.789062500E+00,+2.490429687E+00
-2.145000E-03,+1.803710937E+00,+2.491113281E+00
-2.140000E-03,+1.823242187E+00,+2.492187500E+00
-2.135000E-03,+1.839843750E+00,+2.491992187E+00
-2.130000E-03,+1.853515625E+00,+2.492285156E+00
-2.125000E-03,+1.871093750E+00,+2.493359375E+00
-2.120000E-03,+1.892578125E+00,+2.493359375E+00
-2.115000E-03,+1.913085937E+00,+2.493066406E+00
-2.110000E-03,+1.935546875E+00,+2.494238281E+00
-2.105000E-03,+1.953125000E+00,+2.494921875E+00
-2.100000E-03,+1.976562500E+00,+2.494628906E+00
-2.095000E-03,+2.004882812E+00,+2.495214844E+00
-2.090000E-03,+2.031250000E+00,+2.496289062E+00
-2.085000E-03,+2.050781250E+00,+2.496386719E+00
-2.080000E-03,+2.077148437E+00,+2.496484375E+00
-2.075000E-03,+2.110351562E+00,+2.497949219E+00
-2.070000E-03,+2.135742187E+00,+2.498339844E+00
-2.065000E-03,+2.157226562E+00,+2.497949219E+00
-2.060000E-03,+2.184570312E+00,+2.498828125E+00
-2.055000E-03,+2.215820312E+00,+2.500000000E+00
-2.050000E-03,+2.246093750E+00,+2.499804687E+00
-2.045000E-03,+2.273437500E+00,+2.500292969E+00
-2.040000E-03,+2.299804687E+00,+2.501757813E+00
-2.035000E-03,+2.334960937E+00,+2.502050781E+00
-2.030000E-03,+2.362304687E+00,+2.501953125E+00
