x-axis,1,N_LBL
second,Volt,Volt
-145.0000E-06,-1.0755859613E+00,+2.2721483724E+00
-144.8000E-06,-1.0687500238E+00,+2.2828905600E+00
-144.6000E-06,-1.0550781488E+00,+2.2922655602E+00
-144.4000E-06,-1.0462890863E+00,+2.3020311853E+00
-144.2000E-06,-1.0335937738E+00,+2.3112108729E+00
-144.0000E-06,-1.0218750238E+00,+2.3194139981E+00
-143.8000E-06,-1.0091797113E+00,+2.3285936857E+00
-143.6000E-06,-992.5781488E-03,+2.3366014983E+00
-143.4000E-06,-975.9765863E-03,+2.3428514984E+00
-143.2000E-06,-958.3984613E-03,+2.3512499360E+00
-143.0000E-06,-942.7734613E-03,+2.3580858736E+00
-142.8000E-06,-924.2187738E-03,+2.3643358737E+00
-142.6000E-06,-906.6406488E-03,+2.3707811863E+00
-142.4000E-06,-884.1797113E-03,+2.3762499364E+00
-142.2000E-06,-860.7422113E-03,+2.3819139990E+00
-142.0000E-06,-842.1875238E-03,+2.3852343115E+00
-141.8000E-06,-818.7500238E-03,+2.3891405616E+00
-141.6000E-06,-796.2890863E-03,+2.3920702491E+00
-141.4000E-06,-771.8750238E-03,+2.3944139992E+00
-141.2000E-06,-743.5547113E-03,+2.3969530617E+00
-141.0000E-06,-719.1406488E-03,+2.3981249367E+00
-140.8000E-06,-699.6093988E-03,+2.3987108742E+00
-140.6000E-06,-671.2890863E-03,+2.3998827493E+00
-140.4000E-06,-648.8281488E-03,+2.3985155617E+00
-140.2000E-06,-625.3906488E-03,+2.3973436867E+00
-140.0000E-06,-602.9297113E-03,+2.3963671242E+00
-139.8000E-06,-579.4922113E-03,+2.3938280617E+00
-139.6000E-06,-555.0781488E-03,+2.3912889991E+00
-139.4000E-06,-529.6875238E-03,+2.3879686866E+00
-139.2000E-06,-503.3203363E-03,+2.3836718115E+00
-139.0000E-06,-475.0000238E-03,+2.3807421240E+00
-138.8000E-06,-454.4922113E-03,+2.3742968114E+00
-138.6000E-06,-431.0547113E-03,+2.3682421238E+00
-138.4000E-06,-407.6172113E-03,+2.3635546237E+00
-138.2000E-06,-385.1562738E-03,+2.3573046236E+00
-138.0000E-06,-362.6953363E-03,+2.3492968110E+00
-137.8000E-06,-342.1875238E-03,+2.3432421234E+00
-137.6000E-06,-321.6797113E-03,+2.3348436858E+00
-137.4000E-06,-304.1015863E-03,+2.3264452482E+00
-137.2000E-06,-282.6172113E-03,+2.3186327481E+00
-137.0000E-06,-260.1562738E-03,+2.3100389979E+00
-136.8000E-06,-246.4843988E-03,+2.2998827478E+00
-136.6000E-06,-230.8593988E-03,+2.2897264976E+00
-136.4000E-06,-212.3047113E-03,+2.2803514975E+00
-136.2000E-06,-197.6562738E-03,+2.2699999348E+00
-136.0000E-06,-184.9609613E-03,+2.2586718097E+00
-135.8000E-06,-168.3593988E-03,+2.2481249345E+00
-135.6000E-06,-157.6172113E-03,+2.2371874343E+00
-135.4000E-06,-149.8047113E-03,+2.2256639967E+00
-135.2000E-06,-138.0859613E-03,+2.2149218090E+00
-135.0000E-06,-131.2500238E-03,+2.2033983713E+00
-134.8000E-06,-126.3672113E-03,+2.1908983711E+00
-134.6000E-06,-118.5547113E-03,+2.1797655585E+00
-134.4000E-06,-113.6718988E-03,+2.1676561833E+00
-134.2000E-06,-111.7187738E-03,+2.1563280581E+00
-134.0000E-06,-109.7656488E-03,+2.1457811830E+00
-133.8000E-06,-107.8125238E-03,+2.1328905578E+00
-133.6000E-06,-109.7656488E-03,+2.1223436826E+00
-133.4000E-06,-107.8125238E-03,+2.1108202450E+00
-133.2000E-06,-113.6718988E-03,+2.0992968073E+00
-133.0000E-06,-118.5547113E-03,+2.0883593071E+00
-132.8000E-06,-124.4140863E-03,+2.0774218070E+00
-132.6000E-06,-129.2968988E-03,+2.0668749318E+00
-132.4000E-06,-139.0625238E-03,+2.0557421191E+00
-132.2000E-06,-146.8750238E-03,+2.0455858690E+00
-132.0000E-06,-152.7343988E-03,+2.0366014938E+00
-131.8000E-06,-169.3359613E-03,+2.0262499312E+00
-131.6000E-06,-182.0312738E-03,+2.0176561811E+00
-131.4000E-06,-195.7031488E-03,+2.0088671184E+00
-131.2000E-06,-210.3515863E-03,+2.0010546183E+00
-131.0000E-06,-226.9531488E-03,+1.9928514932E+00
-130.8000E-06,-242.5781488E-03,+1.9854296181E+00
-130.6000E-06,-258.2031488E-03,+1.9787889930E+00
-130.4000E-06,-278.7109613E-03,+1.9717577429E+00
-130.2000E-06,-298.2422113E-03,+1.9664843053E+00
-130.0000E-06,-314.8437738E-03,+1.9606249302E+00
-129.8000E-06,-337.3047113E-03,+1.9559374301E+00
-129.6000E-06,-355.8593988E-03,+1.9518358676E+00
-129.4000E-06,-379.2968988E-03,+1.9465624300E+00
-129.2000E-06,-398.8281488E-03,+1.9434374300E+00
-129.0000E-06,-426.1718988E-03,+1.9407030549E+00
-128.8000E-06,-447.6562738E-03,+1.9385546174E+00
-128.6000E-06,-471.0937738E-03,+1.9366014924E+00
-128.4000E-06,-496.4843988E-03,+1.9360155548E+00
-128.2000E-06,-523.8281488E-03,+1.9360155548E+00
-128.0000E-06,-548.2422113E-03,+1.9356249298E+00
-127.8000E-06,-568.7500238E-03,+1.9371874299E+00
-127.6000E-06,-595.1172113E-03,+1.9385546174E+00
-127.4000E-06,-617.5781488E-03,+1.9403124299E+00
-127.2000E-06,-641.0156488E-03,+1.9430468050E+00
-127.0000E-06,-668.3593988E-03,+1.9455858675E+00
-126.8000E-06,-689.8437738E-03,+1.9494921176E+00
-126.6000E-06,-714.2578363E-03,+1.9533983676E+00
-126.4000E-06,-736.7187738E-03,+1.9582811802E+00
-126.2000E-06,-761.1328363E-03,+1.9643358678E+00
-126.0000E-06,-787.5000238E-03,+1.9690233678E+00
-125.8000E-06,-810.9375238E-03,+1.9762499304E+00
-125.6000E-06,-832.4218988E-03,+1.9826952430E+00
-125.4000E-06,-855.8593988E-03,+1.9891405556E+00
-125.2000E-06,-875.3906488E-03,+1.9971483683E+00
-125.0000E-06,-897.8515863E-03,+2.0043749309E+00
-124.8000E-06,-917.3828363E-03,+2.0135546185E+00
-124.6000E-06,-933.9843988E-03,+2.0213671186E+00
-124.4000E-06,-952.5390863E-03,+2.0317186813E+00
-124.2000E-06,-968.1640863E-03,+2.0407030564E+00
-124.0000E-06,-987.6953363E-03,+2.0510546191E+00
-123.8000E-06,-1.0033203363E+00,+2.0619921192E+00
-123.6000E-06,-1.0179687738E+00,+2.0717577444E+00
-123.4000E-06,-1.0287109613E+00,+2.0828905570E+00
-123.2000E-06,-1.0423828363E+00,+2.0936327447E+00
-123.0000E-06,-1.0501953363E+00,+2.1043749324E+00
-122.8000E-06,-1.0628906488E+00,+2.1162889950E+00
-122.6000E-06,-1.0697265863E+00,+2.1274218077E+00
-122.4000E-06,-1.0785156488E+00,+2.1387499329E+00
-122.2000E-06,-1.0843750238E+00,+2.1506639955E+00
-122.0000E-06,-1.0882812738E+00,+2.1617968082E+00
-121.8000E-06,-1.0960937738E+00,+2.1731249334E+00
-121.6000E-06,-1.0960937738E+00,+2.1842577460E+00
-121.4000E-06,-1.1000000238E+00,+2.1963671212E+00
-121.2000E-06,-1.0980468988E+00,+2.2086718089E+00
-121.0000E-06,-1.0960937738E+00,+2.2192186841E+00
-120.8000E-06,-1.0960937738E+00,+2.2295702467E+00
-120.6000E-06,-1.0873047113E+00,+2.2412889969E+00
-120.4000E-06,-1.0863281488E+00,+2.2512499345E+00
-120.2000E-06,-1.0794922113E+00,+2.2629686847E+00
-120.0000E-06,-1.0736328363E+00,+2.2731249349E+00
-119.8000E-06,-1.0658203363E+00,+2.2834764975E+00
-119.6000E-06,-1.0570312738E+00,+2.2934374352E+00
-119.4000E-06,-1.0433593988E+00,+2.3033983728E+00
-119.2000E-06,-1.0316406488E+00,+2.3116014979E+00
-119.0000E-06,-1.0189453363E+00,+2.3201952481E+00
-118.8000E-06,-1.0082031488E+00,+2.3285936857E+00
-118.6000E-06,-990.6250238E-03,+2.3360155608E+00
-118.4000E-06,-976.9531488E-03,+2.3449999359E+00
-118.2000E-06,-959.3750238E-03,+2.3506639985E+00
-118.0000E-06,-941.7968988E-03,+2.3582811861E+00
-117.8000E-06,-925.1953363E-03,+2.3645311862E+00
-117.6000E-06,-899.8047113E-03,+2.3699999363E+00
-117.4000E-06,-885.1562738E-03,+2.3754686864E+00
-117.2000E-06,-861.7187738E-03,+2.3797655615E+00
-117.0000E-06,-842.1875238E-03,+2.3846483740E+00
-116.8000E-06,-817.7734613E-03,+2.3879686866E+00
-116.6000E-06,-796.2890863E-03,+2.3905077491E+00
-116.4000E-06,-770.8984613E-03,+2.3932421242E+00
-116.2000E-06,-748.4375238E-03,+2.3951952492E+00
-116.0000E-06,-722.0703363E-03,+2.3961718117E+00
-115.8000E-06,-699.6093988E-03,+2.3963671242E+00
-115.6000E-06,-675.1953363E-03,+2.3973436867E+00
-115.4000E-06,-651.7578363E-03,+2.3957811867E+00
-115.2000E-06,-628.3203363E-03,+2.3951952492E+00
-115.0000E-06,-602.9297113E-03,+2.3936327492E+00
-114.8000E-06,-580.4687738E-03,+2.3912889991E+00
-114.6000E-06,-558.9843988E-03,+2.3875780616E+00
-114.4000E-06,-530.6640863E-03,+2.3854296240E+00
-114.2000E-06,-506.2500238E-03,+2.3813280615E+00
-114.0000E-06,-480.8593988E-03,+2.3774218114E+00
-113.8000E-06,-456.4453363E-03,+2.3725389989E+00
-113.6000E-06,-433.0078363E-03,+2.3655077487E+00
-113.4000E-06,-411.5234613E-03,+2.3610155612E+00
-113.2000E-06,-387.1093988E-03,+2.3535936861E+00
-113.0000E-06,-365.6250238E-03,+2.3467577485E+00
-112.8000E-06,-342.1875238E-03,+2.3403124359E+00
-112.6000E-06,-320.7031488E-03,+2.3317186857E+00
-112.4000E-06,-301.1718988E-03,+2.3241014981E+00
-112.2000E-06,-284.5703363E-03,+2.3153124355E+00
-112.0000E-06,-265.0390863E-03,+2.3065233729E+00
-111.8000E-06,-247.4609613E-03,+2.2979296227E+00
-111.6000E-06,-232.8125238E-03,+2.2885546226E+00
-111.4000E-06,-216.2109613E-03,+2.2780077474E+00
-111.2000E-06,-199.6093988E-03,+2.2686327473E+00
