x-axis,1,N_LBL
second,Volt,Volt
-5.0450E-03,,
-5.0350E-03,-564.8438E-03,+1.9437499E+00
-5.0250E-03,-577.5391E-03,+1.9818358E+00
-5.0150E-03,-589.7461E-03,+2.0204101E+00
-5.0050E-03,-602.4414E-03,+2.0565429E+00
-4.9950E-03,-614.1602E-03,+2.0921874E+00
-4.9850E-03,-625.8789E-03,+2.1283202E+00
-4.9750E-03,-637.5977E-03,+2.1654296E+00
-4.9650E-03,-648.3399E-03,+2.2040038E+00
-4.9550E-03,-660.5469E-03,+2.2416015E+00
-4.9450E-03,-672.7539E-03,+2.2791991E+00
-4.9350E-03,-684.9610E-03,+2.3167968E+00
-4.9250E-03,-697.6563E-03,+2.3534179E+00
-4.9150E-03,-709.3750E-03,+2.3900390E+00
-4.9050E-03,-722.5586E-03,+2.4266601E+00
-4.8950E-03,-735.7422E-03,+2.4637694E+00
-4.8850E-03,-748.4375E-03,+2.5013671E+00
-4.8750E-03,-761.1328E-03,+2.5389647E+00
-4.8650E-03,-772.8516E-03,+2.5765624E+00
-4.8550E-03,-785.5469E-03,+2.6126952E+00
-4.8450E-03,-797.7539E-03,+2.6488280E+00
-4.8350E-03,-809.4727E-03,+2.6844726E+00
-4.8250E-03,-821.1914E-03,+2.7191405E+00
-4.8150E-03,-831.9336E-03,+2.7542968E+00
-4.8050E-03,-843.1641E-03,+2.7889647E+00
-4.7950E-03,-853.9063E-03,+2.8226562E+00
-4.7850E-03,-865.1367E-03,+2.8553710E+00
-4.7750E-03,-876.8555E-03,+2.8875976E+00
-4.7650E-03,-886.6211E-03,+2.9208007E+00
-4.7550E-03,-896.3867E-03,+2.9530272E+00
-4.7450E-03,-906.1524E-03,+2.9847655E+00
-4.7350E-03,-915.9180E-03,+3.0165038E+00
-4.7250E-03,-926.1719E-03,+3.0462890E+00
-4.7150E-03,-934.9610E-03,+3.0765624E+00
-4.7050E-03,-944.2383E-03,+3.1053710E+00
-4.6950E-03,-953.5156E-03,+3.1341796E+00
-4.6850E-03,-962.3047E-03,+3.1644530E+00
-4.6750E-03,-971.0938E-03,+3.1922851E+00
-4.6650E-03,-978.9063E-03,+3.2191405E+00
-4.6550E-03,-987.6953E-03,+3.2450194E+00
-4.6450E-03,-995.5078E-03,+3.2704101E+00
-4.6350E-03,-1.0028321E+00,+3.2958007E+00
-4.6250E-03,-1.0111328E+00,+3.3192382E+00
-4.6150E-03,-1.0179688E+00,+3.3421874E+00
-4.6050E-03,-1.0257813E+00,+3.3636718E+00
