x-axis,1,N_LBL
second,Volt,Volt
-145.0000E-06,-1.0980468988E+00,+2.3000782032E+00
-144.8000E-06,-1.0951172113E+00,+2.3110157034E+00
-144.6000E-06,-1.0960937738E+00,+2.3231250786E+00
-144.4000E-06,-1.0951172113E+00,+2.3321094537E+00
-144.2000E-06,-1.0970703363E+00,+2.3426563289E+00
-144.0000E-06,-1.0931640863E+00,+2.3532032040E+00
-143.8000E-06,-1.0892578363E+00,+2.3629688292E+00
-143.6000E-06,-1.0902343988E+00,+2.3719532043E+00
-143.4000E-06,-1.0892578363E+00,+2.3828907045E+00
-143.2000E-06,-1.0853515863E+00,+2.3926563296E+00
-143.0000E-06,-1.0843750238E+00,+2.4032032048E+00
-142.8000E-06,-1.0794922113E+00,+2.4114063299E+00
-142.6000E-06,-1.0755859613E+00,+2.4207813300E+00
-142.4000E-06,-1.0697265863E+00,+2.4301563302E+00
-142.2000E-06,-1.0677734613E+00,+2.4391407053E+00
-142.0000E-06,-1.0619140863E+00,+2.4481250804E+00
-141.8000E-06,-1.0599609613E+00,+2.4563282056E+00
-141.6000E-06,-1.0550781488E+00,+2.4641407057E+00
-141.4000E-06,-1.0453125238E+00,+2.4727344558E+00
-141.2000E-06,-1.0453125238E+00,+2.4809375809E+00
-141.0000E-06,-1.0375000238E+00,+2.4871875810E+00
-140.8000E-06,-1.0296875238E+00,+2.4957813311E+00
-140.6000E-06,-1.0267578363E+00,+2.5024219562E+00
-140.4000E-06,-1.0199218988E+00,+2.5094532064E+00
-140.2000E-06,-1.0082031488E+00,+2.5168750815E+00
-140.0000E-06,-1.0072265863E+00,+2.5235157066E+00
-139.8000E-06,-996.4843988E-03,+2.5301563317E+00
-139.6000E-06,-989.6484613E-03,+2.5367969568E+00
-139.4000E-06,-982.8125238E-03,+2.5410938318E+00
-139.2000E-06,-971.0937738E-03,+2.5481250819E+00
-139.0000E-06,-963.2812738E-03,+2.5528125820E+00
-138.8000E-06,-958.3984613E-03,+2.5586719571E+00
-138.6000E-06,-950.5859613E-03,+2.5641407072E+00
-138.4000E-06,-937.8906488E-03,+2.5684375822E+00
-138.2000E-06,-928.1250238E-03,+2.5731250823E+00
-138.0000E-06,-920.3125238E-03,+2.5766407074E+00
-137.8000E-06,-910.5468988E-03,+2.5813282074E+00
-137.6000E-06,-899.8047113E-03,+2.5852344575E+00
-137.4000E-06,-891.9922113E-03,+2.5891407075E+00
-137.2000E-06,-880.2734613E-03,+2.5922657076E+00
-137.0000E-06,-867.5781488E-03,+2.5965625827E+00
-136.8000E-06,-854.8828363E-03,+2.5989063327E+00
-136.6000E-06,-849.0234613E-03,+2.6020313327E+00
-136.4000E-06,-837.3047113E-03,+2.6035938328E+00
-136.2000E-06,-825.5859613E-03,+2.6059375828E+00
-136.0000E-06,-812.8906488E-03,+2.6082813328E+00
-135.8000E-06,-802.1484613E-03,+2.6090625828E+00
-135.6000E-06,-786.5234613E-03,+2.6110157079E+00
-135.4000E-06,-778.7109613E-03,+2.6110157079E+00
-135.2000E-06,-766.0156488E-03,+2.6117969579E+00
-135.0000E-06,-753.3203363E-03,+2.6125782079E+00
-134.8000E-06,-744.5312738E-03,+2.6114063329E+00
-134.6000E-06,-730.8593988E-03,+2.6121875829E+00
-134.4000E-06,-716.2109613E-03,+2.6110157079E+00
-134.2000E-06,-706.4453363E-03,+2.6102344579E+00
-134.0000E-06,-692.7734613E-03,+2.6090625828E+00
-133.8000E-06,-683.0078363E-03,+2.6078907078E+00
-133.6000E-06,-669.3359613E-03,+2.6055469578E+00
-133.4000E-06,-658.5937738E-03,+2.6032032077E+00
-133.2000E-06,-647.8515863E-03,+2.6008594577E+00
-133.0000E-06,-634.1797113E-03,+2.5996875827E+00
-132.8000E-06,-624.4140863E-03,+2.5969532077E+00
-132.6000E-06,-611.7187738E-03,+2.5930469576E+00
-132.4000E-06,-596.0937738E-03,+2.5891407075E+00
-132.2000E-06,-585.3515863E-03,+2.5856250825E+00
-132.0000E-06,-573.6328363E-03,+2.5821094574E+00
-131.8000E-06,-562.8906488E-03,+2.5782032074E+00
-131.6000E-06,-549.2187738E-03,+2.5727344573E+00
-131.4000E-06,-534.5703363E-03,+2.5684375822E+00
-131.2000E-06,-520.8984613E-03,+2.5637500822E+00
-131.0000E-06,-508.2031488E-03,+2.5590625821E+00
-130.8000E-06,-494.5312738E-03,+2.5539844570E+00
-130.6000E-06,-483.7890863E-03,+2.5469532069E+00
-130.4000E-06,-475.0000238E-03,+2.5418750818E+00
-130.2000E-06,-460.3515863E-03,+2.5356250817E+00
-130.0000E-06,-450.5859613E-03,+2.5293750816E+00
-129.8000E-06,-439.8437738E-03,+2.5211719565E+00
-129.6000E-06,-426.1718988E-03,+2.5153125814E+00
-129.4000E-06,-414.4531488E-03,+2.5082813313E+00
-129.2000E-06,-399.8047113E-03,+2.5004688312E+00
-129.0000E-06,-392.9687738E-03,+2.4942188311E+00
-128.8000E-06,-379.2968988E-03,+2.4856250810E+00
-128.6000E-06,-367.5781488E-03,+2.4774219559E+00
-128.4000E-06,-355.8593988E-03,+2.4692188308E+00
-128.2000E-06,-350.0000238E-03,+2.4614063306E+00
-128.0000E-06,-336.3281488E-03,+2.4524219555E+00
-127.8000E-06,-327.5390863E-03,+2.4450000804E+00
-127.6000E-06,-318.7500238E-03,+2.4352344552E+00
-127.4000E-06,-309.9609613E-03,+2.4266407051E+00
-127.2000E-06,-298.2422113E-03,+2.4172657050E+00
-127.0000E-06,-289.4531488E-03,+2.4078907048E+00
-126.8000E-06,-282.6172113E-03,+2.3989063297E+00
-126.6000E-06,-267.9687738E-03,+2.3883594545E+00
-126.4000E-06,-259.1797113E-03,+2.3782032044E+00
-126.2000E-06,-252.3437738E-03,+2.3680469542E+00
-126.0000E-06,-242.5781488E-03,+2.3582813291E+00
-125.8000E-06,-237.6953363E-03,+2.3477344539E+00
-125.6000E-06,-228.9062738E-03,+2.3371875788E+00
-125.4000E-06,-222.0703363E-03,+2.3258594536E+00
