x-axis,1,N_LBL
second,Volt,Volt
-25.04500E-03,-634.66799E-03,+2.27304678E+00
-24.99500E-03,-620.01956E-03,+2.22617178E+00
-24.94500E-03,-605.27346E-03,+2.17919912E+00
-24.89500E-03,-589.64846E-03,+2.13154287E+00
-24.84500E-03,-574.12112E-03,+2.08574209E+00
-24.79500E-03,-559.37502E-03,+2.04062490E+00
-24.74500E-03,-543.65237E-03,+1.99374990E+00
-24.69500E-03,-527.05081E-03,+1.94667959E+00
-24.64500E-03,-510.54690E-03,+1.89814444E+00
-24.59500E-03,-494.92190E-03,+1.85214834E+00
-24.54500E-03,-479.39456E-03,+1.80546865E+00
-24.49500E-03,-464.84377E-03,+1.76044912E+00
-24.44500E-03,-451.07424E-03,+1.71464834E+00
-24.39500E-03,-436.13284E-03,+1.66982412E+00
-24.34500E-03,-418.84768E-03,+1.62587881E+00
-24.29500E-03,-404.19924E-03,+1.58173819E+00
-24.24500E-03,-389.64846E-03,+1.53603506E+00
-24.19500E-03,-375.97659E-03,+1.49228506E+00
-24.14500E-03,-362.30471E-03,+1.45039053E+00
-24.09500E-03,-348.73049E-03,+1.40927725E+00
-24.04500E-03,-335.93752E-03,+1.36748037E+00
-23.99500E-03,-322.46096E-03,+1.32773428E+00
-23.94500E-03,-310.64456E-03,+1.29052725E+00
-23.89500E-03,-298.04690E-03,+1.25253897E+00
-23.84500E-03,-286.23049E-03,+1.21562490E+00
-23.79500E-03,-273.63284E-03,+1.18046865E+00
-23.74500E-03,-261.91409E-03,+1.14531240E+00
-23.69500E-03,-250.29299E-03,+1.11035147E+00
-23.64500E-03,-239.64846E-03,+1.07714834E+00
-23.59500E-03,-229.78518E-03,+1.04414053E+00
-23.54500E-03,-219.14065E-03,+1.01298819E+00
-23.49500E-03,-209.27737E-03,+982.71475E-03
-23.44500E-03,-198.63284E-03,+952.63662E-03
-23.39500E-03,-188.96487E-03,+924.51162E-03
-23.34500E-03,-180.17581E-03,+898.33975E-03
-23.29500E-03,-171.38674E-03,+873.92569E-03
-23.24500E-03,-162.69534E-03,+849.70694E-03
-23.19500E-03,-154.98049E-03,+827.44131E-03
-23.14500E-03,-148.14456E-03,+807.03115E-03
-23.09500E-03,-141.50393E-03,+787.59756E-03
-23.04500E-03,-136.52346E-03,+769.14053E-03
-22.99500E-03,-130.66409E-03,+751.56240E-03
-22.94500E-03,-125.00002E-03,+734.27725E-03
-22.89500E-03,-120.99612E-03,+719.72647E-03
-22.84500E-03,-116.21096E-03,+706.34756E-03
-22.79500E-03,-112.30471E-03,+695.60537E-03
-22.74500E-03,-108.49612E-03,+685.15615E-03
-22.69500E-03,-105.66409E-03,+677.44131E-03
-22.64500E-03,-103.71096E-03,+670.70303E-03
-22.59500E-03,-101.75784E-03,+664.94131E-03
-22.54500E-03,-99.90237E-03,+660.25381E-03
-22.49500E-03,-99.02346E-03,+657.51944E-03
-22.44500E-03,-99.02346E-03,+656.54287E-03
-22.39500E-03,-99.02346E-03,+655.76162E-03
-22.34500E-03,-99.12112E-03,+656.83584E-03
-22.29500E-03,-100.29299E-03,+659.08194E-03
-22.24500E-03,-103.12502E-03,+664.06240E-03
-22.19500E-03,-105.17581E-03,+670.11709E-03
-22.14500E-03,-108.10549E-03,+677.92959E-03
-22.09500E-03,-111.13284E-03,+685.93740E-03
-22.04500E-03,-115.03909E-03,+695.80069E-03
-21.99500E-03,-119.04299E-03,+706.64053E-03
-21.94500E-03,-123.92581E-03,+718.74990E-03
-21.89500E-03,-128.90627E-03,+734.47256E-03
-21.84500E-03,-134.76565E-03,+751.07412E-03
-21.79500E-03,-140.72268E-03,+767.77334E-03
-21.74500E-03,-147.65627E-03,+785.64444E-03
-21.69500E-03,-155.37112E-03,+806.15225E-03
-21.64500E-03,-162.40237E-03,+826.75772E-03
-21.59500E-03,-171.19143E-03,+848.53506E-03
-21.54500E-03,-179.98049E-03,+872.94912E-03
