x-axis,1,N_LBL
second,Volt,Volt
-70.00000E-06,-1.09316408634E+00,+2.18207025547E+00
-69.95000E-06,-1.09023439884E+00,+2.18587884928E+00
-69.90000E-06,-1.08632814884E+00,+2.18724603680E+00
-69.85000E-06,-1.07656252384E+00,+2.19095697435E+00
-69.80000E-06,-1.07656252384E+00,+2.19583978692E+00
-69.75000E-06,-1.07460939884E+00,+2.19662103694E+00
-69.70000E-06,-1.06484377384E+00,+2.19798822446E+00
-69.65000E-06,-1.06484377384E+00,+2.20130853701E+00
-69.60000E-06,-1.04726564884E+00,+2.20462884955E+00
-69.55000E-06,-1.06191408634E+00,+2.20541009957E+00
-69.50000E-06,-1.04042971134E+00,+2.20853509961E+00
-69.45000E-06,-1.03652346134E+00,+2.21146478716E+00
-69.40000E-06,-1.02675783634E+00,+2.21693353724E+00
-69.35000E-06,-1.01699221134E+00,+2.21996088103E+00
-69.30000E-06,-1.00820314884E+00,+2.22093744355E+00
-69.25000E-06,-1.00039064884E+00,+2.21917963102E+00
-69.20000E-06,-993.55471134E-03,+2.22123041230E+00
-69.15000E-06,-976.95314884E-03,+2.22259759982E+00
-69.10000E-06,-973.04689884E-03,+2.22806634990E+00
-69.05000E-06,-955.46877384E-03,+2.23324213123E+00
-69.00000E-06,-946.67971134E-03,+2.23470697500E+00
-68.95000E-06,-933.00783634E-03,+2.23597650627E+00
-68.90000E-06,-930.07814884E-03,+2.23539056876E+00
-68.85000E-06,-912.50002384E-03,+2.23666010003E+00
-68.80000E-06,-902.73439884E-03,+2.23744135004E+00
-68.75000E-06,-888.08596134E-03,+2.23988275633E+00
-68.70000E-06,-873.43752384E-03,+2.24330072513E+00
-68.65000E-06,-856.83596134E-03,+2.24437494390E+00
-68.60000E-06,-850.00002384E-03,+2.24544916266E+00
-68.55000E-06,-839.25783634E-03,+2.24749994394E+00
-68.50000E-06,-816.79689884E-03,+2.24730463144E+00
-68.45000E-06,-801.17189884E-03,+2.24945306897E+00
-68.40000E-06,-789.45314884E-03,+2.25042963149E+00
-68.35000E-06,-774.80471134E-03,+2.25140619400E+00
-68.30000E-06,-759.17971134E-03,+2.25169916276E+00
-68.25000E-06,-743.55471134E-03,+2.25179681901E+00
-68.20000E-06,-729.88283634E-03,+2.25150385025E+00
-68.15000E-06,-718.16408634E-03,+2.25208978776E+00
-68.10000E-06,-696.67971134E-03,+2.25345697528E+00
-68.05000E-06,-680.07814884E-03,+2.25501947531E+00
-68.00000E-06,-668.35939884E-03,+2.25628900657E+00
-67.95000E-06,-654.68752384E-03,+2.25609369407E+00
-67.90000E-06,-639.06252384E-03,+2.25492181905E+00
-67.85000E-06,-625.39064884E-03,+2.25345697528E+00
-67.80000E-06,-614.64846134E-03,+2.25433588155E+00
-67.75000E-06,-596.09377384E-03,+2.25374994404E+00
-67.70000E-06,-578.51564884E-03,+2.25492181905E+00
-67.65000E-06,-564.84377384E-03,+2.25374994404E+00
-67.60000E-06,-552.14846134E-03,+2.25326166278E+00
-67.55000E-06,-531.64064884E-03,+2.25169916276E+00
-67.50000E-06,-519.92189884E-03,+2.25101556900E+00
-67.45000E-06,-502.34377384E-03,+2.25013666273E+00
-67.40000E-06,-489.64846134E-03,+2.24896478772E+00
-67.35000E-06,-470.11721134E-03,+2.24818353770E+00
-67.30000E-06,-456.44533634E-03,+2.24886713146E+00
-67.25000E-06,-437.89064884E-03,+2.24837885021E+00
-67.20000E-06,-425.19533634E-03,+2.24613275642E+00
-67.15000E-06,-409.57033634E-03,+2.24466791265E+00
-67.10000E-06,-395.89846134E-03,+2.24232416262E+00
