x-axis,1,N_LBL
second,Volt,Volt
-1.000000E-03,+2.236328125E+00,+3.203125E-03
-998.000E-06,+2.196289063E+00,+4.140625E-03
-996.000E-06,+2.164062500E+00,+6.015625E-03
-994.000E-06,+2.130859375E+00,+7.578125E-03
-992.000E-06,+2.092773438E+00,+9.296875E-03
-990.000E-06,+2.061523438E+00,+9.531250E-03
-988.000E-06,+2.030273438E+00,+9.765625E-03
-986.000E-06,+1.999023438E+00,+9.531250E-03
-984.000E-06,+1.963867187E+00,+10.234375E-03
-982.000E-06,+1.930664063E+00,+11.328125E-03
-980.000E-06,+1.905273437E+00,+12.265625E-03
-978.000E-06,+1.871093750E+00,+14.140625E-03
-976.000E-06,+1.842773437E+00,+15.468750E-03
-974.000E-06,+1.816406250E+00,+15.390625E-03
-972.000E-06,+1.787109375E+00,+15.937500E-03
-970.000E-06,+1.761718750E+00,+15.312500E-03
-968.000E-06,+1.739257812E+00,+15.312500E-03
-966.000E-06,+1.716796875E+00,+16.328125E-03
-964.000E-06,+1.696289062E+00,+17.031250E-03
-962.000E-06,+1.675781250E+00,+18.984375E-03
-960.000E-06,+1.658203125E+00,+19.687500E-03
-958.000E-06,+1.642578125E+00,+20.312500E-03
-956.000E-06,+1.623046875E+00,+20.312500E-03
-954.000E-06,+1.603515625E+00,+20.078125E-03
-952.000E-06,+1.589843750E+00,+19.921875E-03
-950.000E-06,+1.576171875E+00,+20.078125E-03
-948.000E-06,+1.562500000E+00,+21.015625E-03
-946.000E-06,+1.552734375E+00,+21.953125E-03
-944.000E-06,+1.543945313E+00,+22.656249E-03
-942.000E-06,+1.537109375E+00,+23.046874E-03
-940.000E-06,+1.531250000E+00,+22.656249E-03
-938.000E-06,+1.525390625E+00,+22.421874E-03
-936.000E-06,+1.521484375E+00,+21.250000E-03
-934.000E-06,+1.516601563E+00,+21.250000E-03
-932.000E-06,+1.513671875E+00,+21.875000E-03
-930.000E-06,+1.513671875E+00,+22.187500E-03
-928.000E-06,+1.517578125E+00,+23.281249E-03
-926.000E-06,+1.517578125E+00,+23.515624E-03
-924.000E-06,+1.525390625E+00,+23.203124E-03
-922.000E-06,+1.530273438E+00,+22.734374E-03
-920.000E-06,+1.538085938E+00,+21.250000E-03
-918.000E-06,+1.546875000E+00,+21.250000E-03
-916.000E-06,+1.552734375E+00,+20.937500E-03
-914.000E-06,+1.566406250E+00,+21.250000E-03
-912.000E-06,+1.579101563E+00,+21.796875E-03
-910.000E-06,+1.589843750E+00,+21.640625E-03
-908.000E-06,+1.609375000E+00,+21.875000E-03
-906.000E-06,+1.622070313E+00,+20.468750E-03
-904.000E-06,+1.640625000E+00,+19.687500E-03
-902.000E-06,+1.658203125E+00,+18.671875E-03
-900.000E-06,+1.676757813E+00,+17.812500E-03
-898.000E-06,+1.699218750E+00,+17.734375E-03
-896.000E-06,+1.718750000E+00,+17.656250E-03
-894.000E-06,+1.744140625E+00,+18.125000E-03
-892.000E-06,+1.768554688E+00,+17.500000E-03
-890.000E-06,+1.795898438E+00,+16.484375E-03
-888.000E-06,+1.820312500E+00,+15.625000E-03
-886.000E-06,+1.846679688E+00,+13.437500E-03
-884.000E-06,+1.875000000E+00,+13.203125E-03
-882.000E-06,+1.902343750E+00,+12.500000E-03
-880.000E-06,+1.934570313E+00,+12.578125E-03
-878.000E-06,+1.964843750E+00,+12.890625E-03
-876.000E-06,+2.000000000E+00,+11.796875E-03
-874.000E-06,+2.035156250E+00,+11.171875E-03
-872.000E-06,+2.062500000E+00,+9.375000E-03
-870.000E-06,+2.099609375E+00,+7.656250E-03
-868.000E-06,+2.133789063E+00,+6.562500E-03
-866.000E-06,+2.164062500E+00,+5.703125E-03
-864.000E-06,+2.200195313E+00,+5.937500E-03
-862.000E-06,+2.235351563E+00,+5.546875E-03
-860.000E-06,+2.273437500E+00,+5.390625E-03
-858.000E-06,+2.309570313E+00,+4.218750E-03
-856.000E-06,+2.349609375E+00,+2.421875E-03
-854.000E-06,+2.384765625E+00,+1.250000E-03
-852.000E-06,+2.422851563E+00,-546.875E-06
-850.000E-06,+2.456054688E+00,-1.015625E-03
-848.000E-06,+2.492187500E+00,-1.640625E-03
-846.000E-06,+2.531250000E+00,-1.640625E-03
-844.000E-06,+2.566406250E+00,-1.796875E-03
-842.000E-06,+2.604492188E+00,-2.812500E-03
-840.000E-06,+2.642578125E+00,-3.828125E-03
-838.000E-06,+2.678710938E+00,-5.546875E-03
-836.000E-06,+2.711914063E+00,-7.343750E-03
-834.000E-06,+2.748046875E+00,-8.359375E-03
-832.000E-06,+2.782226563E+00,-9.375000E-03
-830.000E-06,+2.818359375E+00,-8.828125E-03
-828.000E-06,+2.851562500E+00,-9.062500E-03
-826.000E-06,+2.887695313E+00,-9.843750E-03
-824.000E-06,+2.928710938E+00,-10.546875E-03
-822.000E-06,+2.958984375E+00,-12.656250E-03
-820.000E-06,+2.990234375E+00,-13.750000E-03
-818.000E-06,+3.022460938E+00,-15.312500E-03
-816.000E-06,+3.053710938E+00,-15.703125E-03
-814.000E-06,+3.081054688E+00,-15.859375E-03
-812.000E-06,+3.115234375E+00,-16.250000E-03
-810.000E-06,+3.143554688E+00,-16.171875E-03
-808.000E-06,+3.171875000E+00,-17.578125E-03
-806.000E-06,+3.197265625E+00,-18.593750E-03
-804.000E-06,+3.222656250E+00,-20.312500E-03
-802.000E-06,+3.249023438E+00,-21.171875E-03
-800.000E-06,+3.269531250E+00,-21.406250E-03
-798.000E-06,+3.291015625E+00,-21.796875E-03
-796.000E-06,+3.315429688E+00,-21.015625E-03
-794.000E-06,+3.333007813E+00,-21.171875E-03
-792.000E-06,+3.351562500E+00,-21.718750E-03
-790.000E-06,+3.371093750E+00,-22.499999E-03
-788.000E-06,+3.383789063E+00,-24.374999E-03
-786.000E-06,+3.402343750E+00,-24.765624E-03
-784.000E-06,+3.414062500E+00,-25.468749E-03
-782.000E-06,+3.429687500E+00,-25.546874E-03
-780.000E-06,+3.442382813E+00,-24.687499E-03
-778.000E-06,+3.452148438E+00,-24.531249E-03
-776.000E-06,+3.459960938E+00,-24.296874E-03
-774.000E-06,+3.465820313E+00,-25.156249E-03
-772.000E-06,+3.472656250E+00,-26.015624E-03
-770.000E-06,+3.472656250E+00,-26.874999E-03
-768.000E-06,+3.479492188E+00,-27.656249E-03
-766.000E-06,+3.479492188E+00,-26.874999E-03
-764.000E-06,+3.480468750E+00,-26.640624E-03
-762.000E-06,+3.480468750E+00,-25.859374E-03
-760.000E-06,+3.477539063E+00,-25.390624E-03
-758.000E-06,+3.482421875E+00,-25.703124E-03
-756.000E-06,+3.472656250E+00,-25.703124E-03
-754.000E-06,+3.463867187E+00,-26.874999E-03
-752.000E-06,+3.456054687E+00,-26.874999E-03
-750.000E-06,+3.445312500E+00,-26.562499E-03
-748.000E-06,+3.434570312E+00,-25.781249E-03
-746.000E-06,+3.422851562E+00,-24.218749E-03
-744.000E-06,+3.409179687E+00,-24.296874E-03
-742.000E-06,+3.397460937E+00,-23.593749E-03
-740.000E-06,+3.380859375E+00,-23.984374E-03
-738.000E-06,+3.365234375E+00,-24.453124E-03
-736.000E-06,+3.347656250E+00,-24.296874E-03
-734.000E-06,+3.326171875E+00,-24.374999E-03
-732.000E-06,+3.300781250E+00,-22.812499E-03
-730.000E-06,+3.283203125E+00,-21.718750E-03
-728.000E-06,+3.260742187E+00,-20.468750E-03
-726.000E-06,+3.235351562E+00,-19.453125E-03
-724.000E-06,+3.212890625E+00,-19.687500E-03
-722.000E-06,+3.182617187E+00,-19.296875E-03
-720.000E-06,+3.160156250E+00,-19.843750E-03
-718.000E-06,+3.127929687E+00,-18.671875E-03
-716.000E-06,+3.100585937E+00,-17.500000E-03
-714.000E-06,+3.074218750E+00,-16.718750E-03
-712.000E-06,+3.044921875E+00,-14.609375E-03
-710.000E-06,+3.012695312E+00,-13.984375E-03
-708.000E-06,+2.979492187E+00,-13.125000E-03
-706.000E-06,+2.945312500E+00,-13.125000E-03
-704.000E-06,+2.904296875E+00,-13.046875E-03
-702.000E-06,+2.871093750E+00,-12.421875E-03
-700.000E-06,+2.834960937E+00,-11.718750E-03
-698.000E-06,+2.802734375E+00,-9.531250E-03
-696.000E-06,+2.770507812E+00,-8.125000E-03
-694.000E-06,+2.735351562E+00,-6.875000E-03
-692.000E-06,+2.705078125E+00,-5.937500E-03
-690.000E-06,+2.666992187E+00,-5.781250E-03
-688.000E-06,+2.625976562E+00,-5.390625E-03
-686.000E-06,+2.588867187E+00,-5.234375E-03
-684.000E-06,+2.546875000E+00,-4.140625E-03
-682.000E-06,+2.508789062E+00,-2.421875E-03
-680.000E-06,+2.476562500E+00,-1.250000E-03
-678.000E-06,+2.443359375E+00,+703.125E-06
-676.000E-06,+2.408203125E+00,+1.406250E-03
-674.000E-06,+2.372070312E+00,+1.953125E-03
-672.000E-06,+2.333007812E+00,+2.265625E-03
-670.000E-06,+2.297851562E+00,+1.875000E-03
-668.000E-06,+2.260742187E+00,+3.437500E-03
-666.000E-06,+2.219726562E+00,+4.296875E-03
-664.000E-06,+2.185546875E+00,+6.328125E-03
-662.000E-06,+2.155273437E+00,+7.812500E-03
-660.000E-06,+2.116210937E+00,+8.671875E-03
-658.000E-06,+2.082031250E+00,+9.140625E-03
-656.000E-06,+2.049804687E+00,+9.140625E-03
-654.000E-06,+2.018554687E+00,+8.906250E-03
-652.000E-06,+1.985351562E+00,+9.843750E-03
-650.000E-06,+1.949218750E+00,+10.703125E-03
-648.000E-06,+1.924804687E+00,+12.500000E-03
-646.000E-06,+1.893554687E+00,+13.671875E-03
-644.000E-06,+1.865234375E+00,+14.687500E-03
-642.000E-06,+1.838867187E+00,+15.000000E-03
-640.000E-06,+1.808593750E+00,+15.000000E-03
-638.000E-06,+1.777343750E+00,+15.625000E-03
-636.000E-06,+1.751953125E+00,+15.312500E-03
-634.000E-06,+1.729492187E+00,+16.406250E-03
-632.000E-06,+1.706054687E+00,+17.109375E-03
-630.000E-06,+1.688476562E+00,+18.593750E-03
-628.000E-06,+1.671875000E+00,+19.765625E-03
-626.000E-06,+1.653320312E+00,+19.609375E-03
-624.000E-06,+1.639648437E+00,+19.843750E-03
-622.000E-06,+1.616210937E+00,+19.218750E-03
-620.000E-06,+1.600585937E+00,+19.375000E-03
-618.000E-06,+1.582031250E+00,+20.156250E-03
-616.000E-06,+1.568359375E+00,+20.156250E-03
-614.000E-06,+1.558593750E+00,+21.953125E-03
-612.000E-06,+1.546875000E+00,+22.187500E-03
-610.000E-06,+1.542968750E+00,+22.656249E-03
-608.000E-06,+1.535156250E+00,+22.734374E-03
-606.000E-06,+1.529296875E+00,+21.718750E-03
-604.000E-06,+1.523437500E+00,+21.406250E-03
-602.000E-06,+1.518554687E+00,+21.015625E-03
-600.000E-06,+1.514648437E+00,+21.640625E-03
-598.000E-06,+1.511718750E+00,+22.421874E-03
-596.000E-06,+1.515625000E+00,+23.046874E-03
-594.000E-06,+1.515625000E+00,+23.593749E-03
-592.000E-06,+1.515625000E+00,+22.812499E-03
-590.000E-06,+1.522460938E+00,+22.499999E-03
-588.000E-06,+1.528320313E+00,+21.171875E-03
-586.000E-06,+1.538085938E+00,+20.859375E-03
-584.000E-06,+1.543945313E+00,+21.093750E-03
-582.000E-06,+1.557617188E+00,+20.937500E-03
-580.000E-06,+1.574218750E+00,+22.343750E-03
-578.000E-06,+1.584960938E+00,+22.265625E-03
-576.000E-06,+1.599609375E+00,+21.562500E-03
-574.000E-06,+1.609375000E+00,+21.093750E-03
-572.000E-06,+1.623046875E+00,+19.453125E-03
-570.000E-06,+1.638671875E+00,+18.750000E-03
-568.000E-06,+1.659179688E+00,+18.281250E-03
-566.000E-06,+1.681640625E+00,+18.515625E-03
-564.000E-06,+1.705078125E+00,+18.984375E-03
-562.000E-06,+1.728515625E+00,+18.281250E-03
-560.000E-06,+1.754882813E+00,+17.812500E-03
-558.000E-06,+1.781250000E+00,+16.328125E-03
-556.000E-06,+1.803710938E+00,+15.390625E-03
-554.000E-06,+1.825195313E+00,+14.140625E-03
-552.000E-06,+1.851562500E+00,+13.125000E-03
-550.000E-06,+1.878906250E+00,+13.281250E-03
-548.000E-06,+1.908203125E+00,+12.578125E-03
-546.000E-06,+1.945312500E+00,+13.281250E-03
-544.000E-06,+1.976562500E+00,+12.578125E-03
-542.000E-06,+2.014648438E+00,+11.328125E-03
-540.000E-06,+2.043945313E+00,+10.234375E-03
-538.000E-06,+2.077148438E+00,+7.968750E-03
-536.000E-06,+2.110351563E+00,+7.187500E-03
