x-axis,1,N_LBL
second,Volt,Volt
-10.00000E-06,+2.93750000000E+00,+11.09374975E-03
-9.98000E-06,+2.92089843750E+00,+10.78124976E-03
-9.96000E-06,+2.91699218750E+00,+12.65624972E-03
-9.94000E-06,+2.90039062500E+00,+13.51562470E-03
-9.92000E-06,+2.88867187500E+00,+14.21874968E-03
-9.90000E-06,+2.87011718750E+00,+14.21874968E-03
-9.88000E-06,+2.86132812500E+00,+15.54687465E-03
-9.86000E-06,+2.85351562500E+00,+17.18749962E-03
-9.84000E-06,+2.83593750000E+00,+17.26562461E-03
-9.82000E-06,+2.82226562500E+00,+16.17187464E-03
-9.80000E-06,+2.80957031250E+00,+18.20312459E-03
-9.78000E-06,+2.79296875000E+00,+16.17187464E-03
-9.76000E-06,+2.78515625000E+00,+18.35937459E-03
-9.74000E-06,+2.76367187500E+00,+17.96874960E-03
-9.72000E-06,+2.74414062500E+00,+19.60937456E-03
-9.70000E-06,+2.73242187500E+00,+19.99999955E-03
-9.68000E-06,+2.71093750000E+00,+19.92187455E-03
-9.66000E-06,+2.69531250000E+00,+22.65624949E-03
-9.64000E-06,+2.67968750000E+00,+21.95312451E-03
-9.62000E-06,+2.66210937500E+00,+21.79687451E-03
-9.60000E-06,+2.63574218750E+00,+22.96874949E-03
-9.58000E-06,+2.62207031250E+00,+22.42187450E-03
-9.56000E-06,+2.60351562500E+00,+22.49999950E-03
-9.54000E-06,+2.58203125000E+00,+22.65624949E-03
-9.52000E-06,+2.56640625000E+00,+22.89062449E-03
-9.50000E-06,+2.54492187500E+00,+23.28124948E-03
-9.48000E-06,+2.52539062500E+00,+23.20312448E-03
-9.46000E-06,+2.50781250000E+00,+22.26562450E-03
-9.44000E-06,+2.49316406250E+00,+23.04687448E-03
-9.42000E-06,+2.47851562500E+00,+24.37499946E-03
-9.40000E-06,+2.45507812500E+00,+22.81249949E-03
-9.38000E-06,+2.44140625000E+00,+23.90624947E-03
-9.36000E-06,+2.41992187500E+00,+22.73437449E-03
-9.34000E-06,+2.39843750000E+00,+22.57812450E-03
-9.32000E-06,+2.38281250000E+00,+23.20312448E-03
-9.30000E-06,+2.36132812500E+00,+23.28124948E-03
-9.28000E-06,+2.33984375000E+00,+20.62499954E-03
-9.26000E-06,+2.32324218750E+00,+20.78124954E-03
-9.24000E-06,+2.30566406250E+00,+21.95312451E-03
-9.22000E-06,+2.28808593750E+00,+22.26562450E-03
-9.20000E-06,+2.26562500000E+00,+20.70312454E-03
-9.18000E-06,+2.25390625000E+00,+20.07812455E-03
-9.16000E-06,+2.24218750000E+00,+19.92187455E-03
-9.14000E-06,+2.22265625000E+00,+19.60937456E-03
-9.12000E-06,+2.20410156250E+00,+18.51562459E-03
-9.10000E-06,+2.18945312500E+00,+19.37499957E-03
-9.08000E-06,+2.16894531250E+00,+17.10937462E-03
-9.06000E-06,+2.16406250000E+00,+17.49999961E-03
-9.04000E-06,+2.15039062500E+00,+15.70312465E-03
-9.02000E-06,+2.12890625000E+00,+17.18749962E-03
-9.00000E-06,+2.12597656250E+00,+15.85937465E-03
-8.98000E-06,+2.10839843750E+00,+15.70312465E-03
-8.96000E-06,+2.10156250000E+00,+12.89062471E-03
-8.94000E-06,+2.09570312500E+00,+13.28124970E-03
-8.92000E-06,+2.08398437500E+00,+13.43749970E-03
-8.90000E-06,+2.06640625000E+00,+11.79687474E-03
-8.88000E-06,+2.05761718750E+00,+10.15624977E-03
-8.86000E-06,+2.05175781250E+00,+11.64062474E-03
-8.84000E-06,+2.04394531250E+00,+8.90624980E-03
-8.82000E-06,+2.03613281250E+00,+7.49999983E-03
-8.80000E-06,+2.03125000000E+00,+7.96874982E-03
-8.78000E-06,+2.02050781250E+00,+6.40624986E-03
-8.76000E-06,+2.01757812500E+00,+6.24999986E-03
-8.74000E-06,+2.00976562500E+00,+6.48437486E-03
-8.72000E-06,+2.00390625000E+00,+4.84374989E-03
-8.70000E-06,+2.00097656250E+00,+3.28124993E-03
-8.68000E-06,+2.00292968750E+00,+2.57812494E-03
-8.66000E-06,+1.99609375000E+00,+156.25000E-06
-8.64000E-06,+2.00000000000E+00,+234.37499E-06
-8.62000E-06,+1.99902343750E+00,-1.32812497E-03
-8.60000E-06,+1.99707031250E+00,-2.03124995E-03
-8.58000E-06,+2.00000000000E+00,-2.65624994E-03
-8.56000E-06,+2.00781250000E+00,-2.81249994E-03
-8.54000E-06,+2.00390625000E+00,-5.70312487E-03
-8.52000E-06,+2.00781250000E+00,-4.53124990E-03
-8.50000E-06,+2.01757812500E+00,-7.10937484E-03
-8.48000E-06,+2.02050781250E+00,-4.92187489E-03
-8.46000E-06,+2.02441406250E+00,-8.59374981E-03
-8.44000E-06,+2.02929687500E+00,-8.67187481E-03
-8.42000E-06,+2.03710937500E+00,-9.14062480E-03
-8.40000E-06,+2.04882812500E+00,-9.68749978E-03
-8.38000E-06,+2.05078125000E+00,-10.85937476E-03
-8.36000E-06,+2.06250000000E+00,-12.42187472E-03
-8.34000E-06,+2.07031250000E+00,-11.64062474E-03
-8.32000E-06,+2.07910156250E+00,-12.81249971E-03
-8.30000E-06,+2.08593750000E+00,-14.68749967E-03
-8.28000E-06,+2.09570312500E+00,-14.76562467E-03
-8.26000E-06,+2.11523437500E+00,-16.40624963E-03
-8.24000E-06,+2.12695312500E+00,-15.54687465E-03
-8.22000E-06,+2.13867187500E+00,-17.57812461E-03
-8.20000E-06,+2.15039062500E+00,-17.49999961E-03
-8.18000E-06,+2.17089843750E+00,-19.53124956E-03
-8.16000E-06,+2.17578125000E+00,-19.99999955E-03
-8.14000E-06,+2.18750000000E+00,-20.15624955E-03
-8.12000E-06,+2.20410156250E+00,-20.23437455E-03
-8.10000E-06,+2.21875000000E+00,-20.46874954E-03
-8.08000E-06,+2.23632812500E+00,-25.31249943E-03
-8.06000E-06,+2.25390625000E+00,-21.09374953E-03
-8.04000E-06,+2.26953125000E+00,-25.07812444E-03
-8.02000E-06,+2.28125000000E+00,-22.34374950E-03
-8.00000E-06,+2.30664062500E+00,-24.68749945E-03
-7.98000E-06,+2.32421875000E+00,-23.74999947E-03
-7.96000E-06,+2.34082031250E+00,-25.62499943E-03
-7.94000E-06,+2.35742187500E+00,-24.84374944E-03
-7.92000E-06,+2.37695312500E+00,-25.85937442E-03
-7.90000E-06,+2.39257812500E+00,-24.84374944E-03
-7.88000E-06,+2.41113281250E+00,-25.85937442E-03
-7.86000E-06,+2.43066406250E+00,-25.62499943E-03
-7.84000E-06,+2.45507812500E+00,-26.09374942E-03
-7.82000E-06,+2.46582031250E+00,-25.62499943E-03
-7.80000E-06,+2.48828125000E+00,-26.71874940E-03
-7.78000E-06,+2.50195312500E+00,-25.07812444E-03
-7.76000E-06,+2.51953125000E+00,-25.85937442E-03
-7.74000E-06,+2.53808593750E+00,-25.46874943E-03
-7.72000E-06,+2.55566406250E+00,-25.54687443E-03
-7.70000E-06,+2.57617187500E+00,-26.32812441E-03
-7.68000E-06,+2.59765625000E+00,-24.76562445E-03
-7.66000E-06,+2.61718750000E+00,-27.26562439E-03
-7.64000E-06,+2.63671875000E+00,-25.15624944E-03
-7.62000E-06,+2.64941406250E+00,-24.29687446E-03
-7.60000E-06,+2.66601562500E+00,-24.37499946E-03
-7.58000E-06,+2.67968750000E+00,-23.59374947E-03
-7.56000E-06,+2.70117187500E+00,-23.67187447E-03
-7.54000E-06,+2.72265625000E+00,-24.60937445E-03
-7.52000E-06,+2.73535156250E+00,-23.67187447E-03
-7.50000E-06,+2.75000000000E+00,-23.51562447E-03
-7.48000E-06,+2.76367187500E+00,-21.87499951E-03
-7.46000E-06,+2.77734375000E+00,-23.43749948E-03
-7.44000E-06,+2.79589843750E+00,-22.03124951E-03
-7.42000E-06,+2.81445312500E+00,-21.56249952E-03
-7.40000E-06,+2.82421875000E+00,-20.39062454E-03
-7.38000E-06,+2.84472656250E+00,-19.21874957E-03
-7.36000E-06,+2.85449218750E+00,-18.35937459E-03
-7.34000E-06,+2.86328125000E+00,-18.43749959E-03
-7.32000E-06,+2.87890625000E+00,-18.43749959E-03
-7.30000E-06,+2.89160156250E+00,-16.71874963E-03
-7.28000E-06,+2.90429687500E+00,-15.93749964E-03
-7.26000E-06,+2.91796875000E+00,-15.93749964E-03
-7.24000E-06,+2.92285156250E+00,-14.29687468E-03
-7.22000E-06,+2.93554687500E+00,-13.20312470E-03
-7.20000E-06,+2.94335937500E+00,-11.87499973E-03
-7.18000E-06,+2.95312500000E+00,-10.70312476E-03
-7.16000E-06,+2.95800781250E+00,-9.68749978E-03
-7.14000E-06,+2.96679687500E+00,-9.92187478E-03
-7.12000E-06,+2.97265625000E+00,-9.21874979E-03
-7.10000E-06,+2.97265625000E+00,-8.59374981E-03
-7.08000E-06,+2.97851562500E+00,-8.28124981E-03
-7.06000E-06,+2.99023437500E+00,-7.49999983E-03
-7.04000E-06,+2.98925781250E+00,-6.87499985E-03
-7.02000E-06,+2.99902343750E+00,-4.14062491E-03
-7.00000E-06,+2.99609375000E+00,-4.06249991E-03
-6.98000E-06,+2.99414062500E+00,-1.56249997E-03
-6.96000E-06,+2.99414062500E+00,-2.10937495E-03
-6.94000E-06,+2.99902343750E+00,+390.62499E-06
-6.92000E-06,+3.00195312500E+00,+78.12500E-06
-6.90000E-06,+2.99609375000E+00,+156.25000E-06
-6.88000E-06,+2.99316406250E+00,+703.12498E-06
-6.86000E-06,+2.99218750000E+00,+1.95312496E-03
-6.84000E-06,+2.98632812500E+00,+2.49999994E-03
-6.82000E-06,+2.98144531250E+00,+3.43749992E-03
-6.80000E-06,+2.97656250000E+00,+3.43749992E-03
-6.78000E-06,+2.97265625000E+00,+5.93749987E-03
-6.76000E-06,+2.96582031250E+00,+5.54687488E-03
-6.74000E-06,+2.96093750000E+00,+7.57812483E-03
-6.72000E-06,+2.95507812500E+00,+8.59374981E-03
-6.70000E-06,+2.94531250000E+00,+8.43749981E-03
-6.68000E-06,+2.93750000000E+00,+10.85937476E-03
-6.66000E-06,+2.92871093750E+00,+12.10937473E-03
-6.64000E-06,+2.91113281250E+00,+11.01562475E-03
-6.62000E-06,+2.90039062500E+00,+11.71874974E-03
-6.60000E-06,+2.88769531250E+00,+11.87499973E-03
-6.58000E-06,+2.87695312500E+00,+13.59374970E-03
-6.56000E-06,+2.86914062500E+00,+14.84374967E-03
-6.54000E-06,+2.85156250000E+00,+15.23437466E-03
-6.52000E-06,+2.83984375000E+00,+16.64062463E-03
-6.50000E-06,+2.82324218750E+00,+15.54687465E-03
-6.48000E-06,+2.80859375000E+00,+18.74999958E-03
-6.46000E-06,+2.79199218750E+00,+17.03124962E-03
-6.44000E-06,+2.78222656250E+00,+19.06249957E-03
-6.42000E-06,+2.76757812500E+00,+17.81249960E-03
-6.40000E-06,+2.75097656250E+00,+20.31249955E-03
-6.38000E-06,+2.73242187500E+00,+17.26562461E-03
-6.36000E-06,+2.71875000000E+00,+19.99999955E-03
-6.34000E-06,+2.70507812500E+00,+19.60937456E-03
-6.32000E-06,+2.68554687500E+00,+22.42187450E-03
-6.30000E-06,+2.66601562500E+00,+20.70312454E-03
-6.28000E-06,+2.64843750000E+00,+23.51562447E-03
-6.26000E-06,+2.63378906250E+00,+20.78124954E-03
-6.24000E-06,+2.61328125000E+00,+21.79687451E-03
-6.22000E-06,+2.59570312500E+00,+22.03124951E-03
-6.20000E-06,+2.57226562500E+00,+22.81249949E-03
-6.18000E-06,+2.55078125000E+00,+20.70312454E-03
-6.16000E-06,+2.54003906250E+00,+22.57812450E-03
-6.14000E-06,+2.52050781250E+00,+21.87499951E-03
-6.12000E-06,+2.50097656250E+00,+22.65624949E-03
-6.10000E-06,+2.47656250000E+00,+22.10937451E-03
-6.08000E-06,+2.46093750000E+00,+22.65624949E-03
-6.06000E-06,+2.44628906250E+00,+21.32812452E-03
-6.04000E-06,+2.42480468750E+00,+23.12499948E-03
-6.02000E-06,+2.40136718750E+00,+22.34374950E-03
-6.00000E-06,+2.38867187500E+00,+21.40624952E-03
-5.98000E-06,+2.37207031250E+00,+21.71874951E-03
-5.96000E-06,+2.35351562500E+00,+22.81249949E-03
-5.94000E-06,+2.33300781250E+00,+20.23437455E-03
-5.92000E-06,+2.31152343750E+00,+20.31249955E-03
-5.90000E-06,+2.29101562500E+00,+21.01562453E-03
-5.88000E-06,+2.27734375000E+00,+19.37499957E-03
-5.86000E-06,+2.26171875000E+00,+19.84374956E-03
-5.84000E-06,+2.24804687500E+00,+20.31249955E-03
-5.82000E-06,+2.23437500000E+00,+17.73437460E-03
-5.80000E-06,+2.21484375000E+00,+16.95312462E-03
-5.78000E-06,+2.19921875000E+00,+18.74999958E-03
-5.76000E-06,+2.18066406250E+00,+16.79687462E-03
-5.74000E-06,+2.16503906250E+00,+17.10937462E-03
-5.72000E-06,+2.15625000000E+00,+15.62499965E-03
-5.70000E-06,+2.14062500000E+00,+14.76562467E-03
-5.68000E-06,+2.12402343750E+00,+13.90624969E-03
-5.66000E-06,+2.11035156250E+00,+15.07812466E-03
-5.64000E-06,+2.09960937500E+00,+12.10937473E-03
-5.62000E-06,+2.08593750000E+00,+14.29687468E-03
-5.60000E-06,+2.07421875000E+00,+11.32812475E-03
-5.58000E-06,+2.07128906250E+00,+12.03124973E-03
-5.56000E-06,+2.06640625000E+00,+9.29687479E-03
-5.54000E-06,+2.05078125000E+00,+9.84374978E-03
-5.52000E-06,+2.04687500000E+00,+8.35937481E-03
-5.50000E-06,+2.03710937500E+00,+7.89062482E-03
-5.48000E-06,+2.03125000000E+00,+5.54687488E-03
-5.46000E-06,+2.02343750000E+00,+6.40624986E-03
-5.44000E-06,+2.01953125000E+00,+3.67187492E-03
-5.42000E-06,+2.00585937500E+00,+3.51562492E-03
-5.40000E-06,+2.00390625000E+00,+3.67187492E-03
-5.38000E-06,+2.01269531250E+00,+2.89062494E-03
-5.36000E-06,+2.01074218750E+00,+937.49998E-06
-5.34000E-06,+2.00390625000E+00,+0.0E+00
-5.32000E-06,+2.00000000000E+00,+781.24998E-06
-5.30000E-06,+1.99609375000E+00,-1.64062496E-03
-5.28000E-06,+1.99511718750E+00,-2.96874993E-03
-5.26000E-06,+2.00195312500E+00,-3.35937492E-03
-5.24000E-06,+2.00292968750E+00,-4.14062491E-03
-5.22000E-06,+2.00488281250E+00,-5.39062488E-03
-5.20000E-06,+2.00195312500E+00,-5.62499987E-03
-5.18000E-06,+2.00585937500E+00,-6.87499985E-03
-5.16000E-06,+2.01464843750E+00,-8.43749981E-03
-5.14000E-06,+2.01757812500E+00,-7.96874982E-03
-5.12000E-06,+2.02441406250E+00,-9.37499979E-03
-5.10000E-06,+2.02929687500E+00,-11.40624975E-03
-5.08000E-06,+2.03808593750E+00,-11.56249974E-03
-5.06000E-06,+2.04394531250E+00,-13.43749970E-03
-5.04000E-06,+2.05175781250E+00,-14.21874968E-03
-5.02000E-06,+2.06250000000E+00,-14.37499968E-03
-5.00000E-06,+2.07226562500E+00,-13.90624969E-03
-4.98000E-06,+2.08007812500E+00,-16.95312462E-03
-4.96000E-06,+2.08984375000E+00,-16.24999964E-03
-4.94000E-06,+2.10351562500E+00,-17.03124962E-03
-4.92000E-06,+2.11523437500E+00,-17.96874960E-03
-4.90000E-06,+2.12304687500E+00,-19.53124956E-03
-4.88000E-06,+2.14160156250E+00,-18.12499959E-03
-4.86000E-06,+2.16015625000E+00,-20.93749953E-03
-4.84000E-06,+2.16796875000E+00,-20.54687454E-03
-4.82000E-06,+2.18164062500E+00,-21.01562453E-03
-4.80000E-06,+2.19531250000E+00,-21.17187453E-03
-4.78000E-06,+2.21191406250E+00,-23.35937448E-03
-4.76000E-06,+2.22656250000E+00,-24.53124945E-03
-4.74000E-06,+2.24414062500E+00,-22.57812450E-03
-4.72000E-06,+2.25976562500E+00,-25.70312443E-03
-4.70000E-06,+2.27539062500E+00,-22.81249949E-03
-4.68000E-06,+2.29101562500E+00,-25.15624944E-03
-4.66000E-06,+2.30761718750E+00,-24.21874946E-03
-4.64000E-06,+2.33789062500E+00,-26.87499940E-03
-4.62000E-06,+2.34667968750E+00,-27.18749939E-03
-4.60000E-06,+2.36523437500E+00,-26.87499940E-03
-4.58000E-06,+2.38378906250E+00,-26.40624941E-03
-4.56000E-06,+2.39843750000E+00,-27.65624938E-03
-4.54000E-06,+2.41796875000E+00,-27.26562439E-03
-4.52000E-06,+2.43750000000E+00,-28.28124937E-03
-4.50000E-06,+2.45996093750E+00,-27.57812438E-03
-4.48000E-06,+2.46972656250E+00,-27.81249938E-03
-4.46000E-06,+2.49023437500E+00,-27.18749939E-03
-4.44000E-06,+2.50488281250E+00,-27.03124940E-03
-4.42000E-06,+2.52929687500E+00,-26.40624941E-03
-4.40000E-06,+2.55078125000E+00,-26.64062440E-03
-4.38000E-06,+2.56640625000E+00,-27.96874937E-03
-4.36000E-06,+2.58789062500E+00,-26.24999941E-03
-4.34000E-06,+2.60546875000E+00,-27.57812438E-03
-4.32000E-06,+2.62207031250E+00,-26.56249941E-03
-4.30000E-06,+2.64062500000E+00,-24.99999944E-03
-4.28000E-06,+2.65722656250E+00,-29.21874935E-03
-4.26000E-06,+2.67187500000E+00,-25.31249943E-03
-4.24000E-06,+2.69726562500E+00,-23.43749948E-03
-4.22000E-06,+2.70605468750E+00,-28.43749936E-03
-4.20000E-06,+2.72949218750E+00,-24.21874946E-03
-4.18000E-06,+2.74609375000E+00,-23.59374947E-03
-4.16000E-06,+2.75097656250E+00,-25.62499943E-03
-4.14000E-06,+2.77343750000E+00,-24.60937445E-03
-4.12000E-06,+2.78906250000E+00,-20.23437455E-03
-4.10000E-06,+2.80468750000E+00,-25.31249943E-03
-4.08000E-06,+2.82421875000E+00,-22.42187450E-03
-4.06000E-06,+2.83691406250E+00,-21.48437452E-03
-4.04000E-06,+2.84765625000E+00,-18.82812458E-03
-4.02000E-06,+2.85351562500E+00,-20.70312454E-03
-4.00000E-06,+2.86914062500E+00,-19.29687457E-03
-3.98000E-06,+2.88281250000E+00,-17.73437460E-03
-3.96000E-06,+2.89453125000E+00,-18.51562459E-03
-3.94000E-06,+2.90136718750E+00,-18.74999958E-03
-3.92000E-06,+2.91308593750E+00,-16.71874963E-03
-3.90000E-06,+2.91601562500E+00,-16.09374964E-03
-3.88000E-06,+2.92578125000E+00,-15.07812466E-03
-3.86000E-06,+2.94628906250E+00,-13.59374970E-03
-3.84000E-06,+2.95019531250E+00,-12.18749973E-03
-3.82000E-06,+2.95703125000E+00,-12.34374972E-03
-3.80000E-06,+2.97363281250E+00,-9.68749978E-03
-3.78000E-06,+2.97363281250E+00,-10.62499976E-03
-3.76000E-06,+2.98730468750E+00,-10.07812477E-03
-3.74000E-06,+2.97949218750E+00,-8.90624980E-03
-3.72000E-06,+2.98925781250E+00,-8.43749981E-03
-3.70000E-06,+2.99707031250E+00,-6.09374986E-03
-3.68000E-06,+2.99218750000E+00,-7.18749984E-03
-3.66000E-06,+3.00000000000E+00,-4.06249991E-03
-3.64000E-06,+2.99902343750E+00,-2.57812494E-03
-3.62000E-06,+2.99707031250E+00,-1.95312496E-03
-3.60000E-06,+2.99707031250E+00,-390.62499E-06
-3.58000E-06,+2.99804687500E+00,-1.56249997E-03
-3.56000E-06,+3.00195312500E+00,-1.48437497E-03
-3.54000E-06,+2.99707031250E+00,-703.12498E-06
-3.52000E-06,+2.99511718750E+00,-156.25000E-06
-3.50000E-06,+2.98632812500E+00,+1.87499996E-03
-3.48000E-06,+2.98437500000E+00,+2.18749995E-03
-3.46000E-06,+2.97167968750E+00,+2.96874993E-03
-3.44000E-06,+2.96875000000E+00,+5.15624988E-03
-3.42000E-06,+2.95507812500E+00,+7.57812483E-03
-3.40000E-06,+2.95312500000E+00,+6.24999986E-03
-3.38000E-06,+2.94433593750E+00,+9.14062480E-03
-3.36000E-06,+2.94238281250E+00,+7.89062482E-03
-3.34000E-06,+2.93750000000E+00,+10.15624977E-03
-3.32000E-06,+2.92578125000E+00,+9.53124979E-03
-3.30000E-06,+2.91406250000E+00,+11.87499973E-03
-3.28000E-06,+2.90234375000E+00,+11.64062474E-03
-3.26000E-06,+2.89355468750E+00,+11.87499973E-03
-3.24000E-06,+2.87304687500E+00,+11.79687474E-03
-3.22000E-06,+2.86425781250E+00,+13.82812469E-03
-3.20000E-06,+2.85253906250E+00,+12.96874971E-03
-3.18000E-06,+2.83691406250E+00,+15.23437466E-03
-3.16000E-06,+2.81835937500E+00,+17.26562461E-03
-3.14000E-06,+2.79882812500E+00,+16.87499962E-03
-3.12000E-06,+2.79199218750E+00,+17.42187461E-03
-3.10000E-06,+2.78125000000E+00,+17.03124962E-03
-3.08000E-06,+2.75976562500E+00,+16.09374964E-03
-3.06000E-06,+2.74511718750E+00,+17.34374961E-03
-3.04000E-06,+2.72753906250E+00,+16.95312462E-03
-3.02000E-06,+2.71484375000E+00,+19.84374956E-03
-3.00000E-06,+2.69140625000E+00,+20.46874954E-03
-2.98000E-06,+2.67187500000E+00,+19.99999955E-03
-2.96000E-06,+2.65820312500E+00,+20.70312454E-03
-2.94000E-06,+2.63671875000E+00,+20.31249955E-03
-2.92000E-06,+2.61816406250E+00,+22.10937451E-03
-2.90000E-06,+2.59179687500E+00,+20.70312454E-03
-2.88000E-06,+2.57519531250E+00,+21.40624952E-03
-2.86000E-06,+2.56250000000E+00,+21.56249952E-03
-2.84000E-06,+2.54101562500E+00,+22.49999950E-03
-2.82000E-06,+2.52343750000E+00,+23.12499948E-03
-2.80000E-06,+2.50292968750E+00,+22.73437449E-03
-2.78000E-06,+2.49121093750E+00,+22.81249949E-03
-2.76000E-06,+2.47656250000E+00,+21.71874951E-03
-2.74000E-06,+2.45898437500E+00,+20.39062454E-03
-2.72000E-06,+2.44042968750E+00,+22.26562450E-03
-2.70000E-06,+2.41894531250E+00,+21.71874951E-03
-2.68000E-06,+2.39843750000E+00,+21.87499951E-03
-2.66000E-06,+2.38085937500E+00,+21.71874951E-03
-2.64000E-06,+2.35937500000E+00,+21.64062452E-03
-2.62000E-06,+2.33984375000E+00,+20.54687454E-03
-2.60000E-06,+2.32226562500E+00,+20.31249955E-03
-2.58000E-06,+2.30371093750E+00,+18.90624958E-03
-2.56000E-06,+2.28710937500E+00,+20.46874954E-03
-2.54000E-06,+2.26855468750E+00,+17.96874960E-03
-2.52000E-06,+2.25000000000E+00,+18.90624958E-03
-2.50000E-06,+2.22753906250E+00,+18.67187458E-03
-2.48000E-06,+2.20996093750E+00,+17.18749962E-03
-2.46000E-06,+2.20117187500E+00,+17.89062460E-03
-2.44000E-06,+2.18164062500E+00,+17.49999961E-03
-2.42000E-06,+2.17382812500E+00,+15.93749964E-03
-2.40000E-06,+2.16015625000E+00,+15.15624966E-03
-2.38000E-06,+2.13964843750E+00,+15.39062466E-03
-2.36000E-06,+2.12988281250E+00,+14.68749967E-03
-2.34000E-06,+2.12109375000E+00,+13.67187469E-03
-2.32000E-06,+2.10742187500E+00,+11.95312473E-03
-2.30000E-06,+2.09179687500E+00,+12.89062471E-03
-2.28000E-06,+2.08593750000E+00,+10.93749976E-03
-2.26000E-06,+2.07226562500E+00,+11.17187475E-03
-2.24000E-06,+2.06250000000E+00,+10.54687476E-03
-2.22000E-06,+2.05273437500E+00,+9.84374978E-03
-2.20000E-06,+2.04589843750E+00,+7.26562484E-03
-2.18000E-06,+2.03906250000E+00,+9.37499979E-03
-2.16000E-06,+2.03222656250E+00,+7.03124984E-03
-2.14000E-06,+2.02539062500E+00,+4.99999989E-03
-2.12000E-06,+2.02050781250E+00,+4.84374989E-03
-2.10000E-06,+2.01464843750E+00,+5.39062488E-03
-2.08000E-06,+2.00878906250E+00,+2.34374995E-03
-2.06000E-06,+2.00976562500E+00,+1.01562498E-03
-2.04000E-06,+2.00292968750E+00,+1.40624997E-03
-2.02000E-06,+1.99804687500E+00,-937.49998E-06
-2.00000E-06,+2.00000000000E+00,-156.25000E-06
-1.98000E-06,+1.99414062500E+00,-2.03124995E-03
-1.96000E-06,+1.99511718750E+00,-2.34374995E-03
-1.94000E-06,+1.99902343750E+00,-3.59374992E-03
-1.92000E-06,+1.99902343750E+00,-3.12499993E-03
-1.90000E-06,+2.00390625000E+00,-5.85937487E-03
-1.88000E-06,+2.00781250000E+00,-5.23437488E-03
-1.86000E-06,+2.01171875000E+00,-7.34374984E-03
-1.84000E-06,+2.00488281250E+00,-7.49999983E-03
-1.82000E-06,+2.01269531250E+00,-9.99999978E-03
-1.80000E-06,+2.01757812500E+00,-10.31249977E-03
-1.78000E-06,+2.02246093750E+00,-10.39062477E-03
-1.76000E-06,+2.03417968750E+00,-11.17187475E-03
-1.74000E-06,+2.04003906250E+00,-12.96874971E-03
-1.72000E-06,+2.04492187500E+00,-12.49999972E-03
-1.70000E-06,+2.05078125000E+00,-16.40624963E-03
-1.68000E-06,+2.06347656250E+00,-15.46874965E-03
-1.66000E-06,+2.07519531250E+00,-15.62499965E-03
-1.64000E-06,+2.08593750000E+00,-17.18749962E-03
-1.62000E-06,+2.09375000000E+00,-15.39062466E-03
