x-axis,1,N_LBL
second,Volt,Volt
-100.0000E-06,+3.0342967980E+00,+195.3125000E-03
-99.8000E-06,+3.0202342978E+00,+248.0468750E-03
-99.6000E-06,+3.0073436726E+00,+294.9218750E-03
-99.4000E-06,+2.9940624224E+00,+345.7031250E-03
-99.2000E-06,+2.9819530472E+00,+398.4375000E-03
-99.0000E-06,+2.9690624221E+00,+443.3593750E-03
-98.8000E-06,+2.9573436719E+00,+496.0937500E-03
-98.6000E-06,+2.9444530467E+00,+542.9687500E-03
-98.4000E-06,+2.9331249215E+00,+589.8437500E-03
-98.2000E-06,+2.9202342963E+00,+634.7656250E-03
-98.0000E-06,+2.9089061712E+00,+683.5937500E-03
-97.8000E-06,+2.8975780460E+00,+730.4687500E-03
-97.6000E-06,+2.8850780458E+00,+781.2500000E-03
-97.4000E-06,+2.8741405456E+00,+828.1250000E-03
-97.2000E-06,+2.8604686704E+00,+873.0468750E-03
-97.0000E-06,+2.8507030453E+00,+919.9218750E-03
-96.8000E-06,+2.8382030451E+00,+962.8906250E-03
-96.6000E-06,+2.8272655449E+00,+1.0039062500E+00
-96.4000E-06,+2.8159374198E+00,+1.0488281250E+00
-96.2000E-06,+2.8053905446E+00,+1.0996093750E+00
-96.0000E-06,+2.7944530445E+00,+1.1386718750E+00
-95.8000E-06,+2.7831249193E+00,+1.1757812500E+00
-95.6000E-06,+2.7737499191E+00,+1.2148437500E+00
-95.4000E-06,+2.7635936690E+00,+1.2578125000E+00
-95.2000E-06,+2.7542186689E+00,+1.2949218750E+00
-95.0000E-06,+2.7444530437E+00,+1.3281250000E+00
-94.8000E-06,+2.7350780436E+00,+1.3691406250E+00
-94.6000E-06,+2.7268749184E+00,+1.4042968750E+00
-94.4000E-06,+2.7171092933E+00,+1.4375000000E+00
-94.2000E-06,+2.7085155432E+00,+1.4707031250E+00
-94.0000E-06,+2.6995311680E+00,+1.5019531250E+00
-93.8000E-06,+2.6921092929E+00,+1.5351562500E+00
-93.6000E-06,+2.6846874178E+00,+1.5605468750E+00
-93.4000E-06,+2.6764842927E+00,+1.5937500000E+00
-93.2000E-06,+2.6694530426E+00,+1.6230468750E+00
-93.0000E-06,+2.6624217925E+00,+1.6523437500E+00
-92.8000E-06,+2.6549999174E+00,+1.6777343750E+00
-92.6000E-06,+2.6491405423E+00,+1.6992187500E+00
-92.4000E-06,+2.6417186672E+00,+1.7265625000E+00
-92.2000E-06,+2.6354686671E+00,+1.7480468750E+00
-92.0000E-06,+2.6288280420E+00,+1.7695312500E+00
-91.8000E-06,+2.6229686669E+00,+1.7910156250E+00
-91.6000E-06,+2.6178905418E+00,+1.8144531250E+00
-91.4000E-06,+2.6124217917E+00,+1.8359375000E+00
-91.2000E-06,+2.6073436667E+00,+1.8515625000E+00
-91.0000E-06,+2.6026561666E+00,+1.8691406250E+00
-90.8000E-06,+2.5983592915E+00,+1.8847656250E+00
-90.6000E-06,+2.5952342915E+00,+1.8964843750E+00
-90.4000E-06,+2.5917186664E+00,+1.9082031250E+00
-90.2000E-06,+2.5885936664E+00,+1.9238281250E+00
-90.0000E-06,+2.5858592913E+00,+1.9335937500E+00
-89.8000E-06,+2.5831249163E+00,+1.9433593750E+00
-89.6000E-06,+2.5807811663E+00,+1.9531250000E+00
-89.4000E-06,+2.5792186662E+00,+1.9609375000E+00
-89.2000E-06,+2.5776561662E+00,+1.9648437500E+00
-89.0000E-06,+2.5768749162E+00,+1.9746093750E+00
-88.8000E-06,+2.5749217912E+00,+1.9746093750E+00
-88.6000E-06,+2.5753124162E+00,+1.9765625000E+00
-88.4000E-06,+2.5749217912E+00,+1.9804687500E+00
-88.2000E-06,+2.5741405412E+00,+1.9785156250E+00
-88.0000E-06,+2.5749217912E+00,+1.9765625000E+00
-87.8000E-06,+2.5757030412E+00,+1.9785156250E+00
-87.6000E-06,+2.5757030412E+00,+1.9707031250E+00
-87.4000E-06,+2.5772655412E+00,+1.9707031250E+00
-87.2000E-06,+2.5792186662E+00,+1.9628906250E+00
-87.0000E-06,+2.5803905413E+00,+1.9570312500E+00
-86.8000E-06,+2.5827342913E+00,+1.9492187500E+00
-86.6000E-06,+2.5850780413E+00,+1.9375000000E+00
-86.4000E-06,+2.5882030414E+00,+1.9296875000E+00
-86.2000E-06,+2.5909374164E+00,+1.9160156250E+00
-86.0000E-06,+2.5940624165E+00,+1.9023437500E+00
-85.8000E-06,+2.5979686665E+00,+1.8828125000E+00
-85.6000E-06,+2.6014842916E+00,+1.8710937500E+00
-85.4000E-06,+2.6057811666E+00,+1.8535156250E+00
-85.2000E-06,+2.6112499167E+00,+1.8378906250E+00
-85.0000E-06,+2.6155467918E+00,+1.8222656250E+00
