x-axis,1,N_LBL
second,Volt,Volt
-100.0000E-03,+3.1745312E+00,+166.0156E-03
-99.8000E-03,+3.1620312E+00,+218.7500E-03
-99.6000E-03,+3.1487499E+00,+267.5781E-03
-99.4000E-03,+3.1366405E+00,+318.3594E-03
-99.2000E-03,+3.1241405E+00,+371.0938E-03
-99.0000E-03,+3.1108593E+00,+419.9219E-03
-98.8000E-03,+3.0991405E+00,+470.7031E-03
-98.6000E-03,+3.0866405E+00,+519.5313E-03
-98.4000E-03,+3.0745312E+00,+566.4063E-03
-98.2000E-03,+3.0628124E+00,+613.2813E-03
-98.0000E-03,+3.0503124E+00,+664.0625E-03
-97.8000E-03,+3.0374218E+00,+708.9844E-03
-97.6000E-03,+3.0249218E+00,+757.8125E-03
-97.4000E-03,+3.0120312E+00,+804.6875E-03
-97.2000E-03,+2.9995312E+00,+851.5625E-03
-97.0000E-03,+2.9866405E+00,+900.3906E-03
-96.8000E-03,+2.9745312E+00,+945.3125E-03
-96.6000E-03,+2.9624218E+00,+990.2344E-03
-96.4000E-03,+2.9499218E+00,+1.0332031E+00
-96.2000E-03,+2.9389843E+00,+1.0761719E+00
-96.0000E-03,+2.9264843E+00,+1.1210938E+00
-95.8000E-03,+2.9132030E+00,+1.1601563E+00
-95.6000E-03,+2.9014843E+00,+1.1992188E+00
-95.4000E-03,+2.8901562E+00,+1.2402344E+00
-95.2000E-03,+2.8788280E+00,+1.2812500E+00
-95.0000E-03,+2.8674999E+00,+1.3183594E+00
-94.8000E-03,+2.8557812E+00,+1.3554688E+00
-94.6000E-03,+2.8440624E+00,+1.3925781E+00
-94.4000E-03,+2.8323437E+00,+1.4257813E+00
-94.2000E-03,+2.8225780E+00,+1.4589844E+00
-94.0000E-03,+2.8120312E+00,+1.4902344E+00
-93.8000E-03,+2.8007030E+00,+1.5234375E+00
-93.6000E-03,+2.7897655E+00,+1.5546875E+00
-93.4000E-03,+2.7796093E+00,+1.5820313E+00
-93.2000E-03,+2.7698437E+00,+1.6113281E+00
-93.0000E-03,+2.7604687E+00,+1.6406250E+00
-92.8000E-03,+2.7514843E+00,+1.6699219E+00
-92.6000E-03,+2.7424999E+00,+1.6933594E+00
-92.4000E-03,+2.7342968E+00,+1.7187500E+00
-92.2000E-03,+2.7253124E+00,+1.7441406E+00
-92.0000E-03,+2.7159374E+00,+1.7656250E+00
-91.8000E-03,+2.7069530E+00,+1.7890625E+00
-91.6000E-03,+2.6979687E+00,+1.8105469E+00
-91.4000E-03,+2.6897655E+00,+1.8300781E+00
-91.2000E-03,+2.6823437E+00,+1.8476563E+00
-91.0000E-03,+2.6749218E+00,+1.8632813E+00
-90.8000E-03,+2.6686718E+00,+1.8789063E+00
-90.6000E-03,+2.6624218E+00,+1.8945313E+00
