x-axis,1,N_LBL
second,Volt,Volt
-50.000E-03,+37.104E-03,+23.129375E+00
-49.900E-03,+55.659E-03,+23.141094E+00
-49.800E-03,+71.870E-03,+23.156329E+00
-49.700E-03,+83.784E-03,+23.175079E+00
-49.600E-03,+91.694E-03,+23.194805E+00
-49.500E-03,+95.209E-03,+23.215508E+00
-49.400E-03,+96.577E-03,+23.235235E+00
-49.300E-03,+94.721E-03,+23.254375E+00
-49.200E-03,+91.108E-03,+23.272930E+00
-49.100E-03,+82.612E-03,+23.289336E+00
-49.000E-03,+69.428E-03,+23.302227E+00
-48.900E-03,+51.948E-03,+23.309258E+00
-48.800E-03,+30.366E-03,+23.311407E+00
-48.700E-03,+7.514E-03,+23.307500E+00
-48.600E-03,+1.850E-03,+23.303399E+00
-48.500E-03,+1.850E-03,+23.299883E+00
-48.400E-03,+1.557E-03,+23.295977E+00
-48.300E-03,+1.948E-03,+23.292657E+00
-48.200E-03,+2.045E-03,+23.290118E+00
-48.100E-03,+1.752E-03,+23.286993E+00
-48.000E-03,+1.655E-03,+23.283672E+00
-47.900E-03,+1.362E-03,+23.280743E+00
-47.800E-03,+1.362E-03,+23.277422E+00
-47.700E-03,+1.850E-03,+23.275274E+00
-47.600E-03,+1.557E-03,+23.272149E+00
-47.500E-03,+1.752E-03,+23.268633E+00
-47.400E-03,+1.655E-03,+23.266094E+00
-47.300E-03,+1.948E-03,+23.263165E+00
-47.200E-03,+1.655E-03,+23.260235E+00
-47.100E-03,+1.655E-03,+23.257500E+00
-47.000E-03,+1.264E-03,+23.254961E+00
-46.900E-03,+1.166E-03,+23.251641E+00
-46.800E-03,+1.752E-03,+23.248907E+00
-46.700E-03,+1.752E-03,+23.245782E+00
-46.600E-03,+1.264E-03,+23.242657E+00
-46.500E-03,+1.557E-03,+23.239922E+00
-46.400E-03,+1.557E-03,+23.237579E+00
-46.300E-03,+1.752E-03,+23.234649E+00
-46.200E-03,+1.752E-03,+23.232110E+00
-46.100E-03,+1.362E-03,+23.229375E+00
-46.000E-03,+1.069E-03,+23.226836E+00
-45.900E-03,+1.850E-03,+23.223711E+00
-45.800E-03,+1.850E-03,+23.220391E+00
-45.700E-03,+1.850E-03,+23.217461E+00
-45.600E-03,+1.459E-03,+23.214922E+00
-45.500E-03,+1.069E-03,+23.211993E+00
-45.400E-03,+1.362E-03,+23.209063E+00
-45.300E-03,+1.655E-03,+23.206915E+00
-45.200E-03,+1.362E-03,+23.203985E+00
-45.100E-03,+1.459E-03,+23.200665E+00
-45.000E-03,+1.752E-03,+23.197735E+00
-44.900E-03,+1.752E-03,+23.195391E+00
-44.800E-03,+1.557E-03,+23.192461E+00
-44.700E-03,+2.143E-03,+23.190899E+00
-44.600E-03,+2.045E-03,+23.187383E+00
-44.500E-03,+1.166E-03,+23.184063E+00
-44.400E-03,+1.362E-03,+23.181329E+00
-44.300E-03,+1.166E-03,+23.178594E+00
-44.200E-03,+1.362E-03,+23.175860E+00
-44.100E-03,+1.264E-03,+23.173711E+00
-44.000E-03,+1.850E-03,+23.170977E+00
-43.900E-03,+1.655E-03,+23.167071E+00
-43.800E-03,+1.752E-03,+23.164336E+00
-43.700E-03,+1.557E-03,+23.161797E+00
-43.600E-03,+2.045E-03,+23.159454E+00
-43.500E-03,+1.752E-03,+23.157110E+00
-43.400E-03,+1.264E-03,+23.153594E+00
-43.300E-03,+1.069E-03,+23.150469E+00
-43.200E-03,+1.264E-03,+23.148125E+00
-43.100E-03,+1.850E-03,+23.145196E+00
-43.000E-03,+1.459E-03,+23.142266E+00
-42.900E-03,+1.557E-03,+23.139727E+00
-42.800E-03,+1.166E-03,+23.137188E+00
-42.700E-03,+1.557E-03,+23.134258E+00
-42.600E-03,+1.362E-03,+23.131329E+00
-42.500E-03,+1.557E-03,+23.128399E+00
-42.400E-03,+1.264E-03,+23.125665E+00
-42.300E-03,+1.166E-03,+23.122540E+00
-42.200E-03,+1.264E-03,+23.119415E+00
-42.100E-03,+1.459E-03,+23.116485E+00
-42.000E-03,+2.924E-03,+23.114922E+00
-41.900E-03,+7.709E-03,+23.114141E+00
-41.800E-03,+19.428E-03,+23.116094E+00
-41.700E-03,+35.346E-03,+23.123125E+00
-41.600E-03,+55.463E-03,+23.135430E+00
