Rectifier,Load,V_dc (V),I_peak (A),V_rms (V),I_rms (A),Real Power (W),Apparent Power (VA),Power Factor
Half-Wave,No load,24.526774633633636,0.0025798165137614674,24.526774651953176,0.0015378422127519363,0.0371617847289124,0.03771830940242777,0.9852452381261937
Half-Wave,2kOhm load,23.465875440440442,0.15619633027522933,23.46621273267774,0.03741531461122181,0.3014771726672507,0.8779957321269967,0.34336974729581476
Half-Wave,1kOhm load,22.99802424824825,0.2342678899082569,22.999285442756715,0.06114815019945569,0.3671521309477716,1.4063637607338424,0.2610648405475061
Full-Wave,No load,24.330503217217217,0.0024192660550458713,24.330503232125345,0.0016802145453011944,0.040423570395818745,0.040880465425114726,0.9888236343558043
Full-Wave,2kOhm load,23.216817216216217,0.09245504587155963,23.216893107596032,0.028521707215927124,0.28725560884786805,0.6621854276783304,0.4337993511198318
Full-Wave,1kOhm load,22.863865797797796,0.1488091743119266,22.864140597887765,0.05036684500200734,0.5268453523303183,1.1515946255979164,0.4574920207332301
